Frequency_Hz,Real,Imaginary,Magnitude_dB,Phase_deg
10000000.0,-0.000998165942075,0.000393210140453,-59.38943745571537,158.4989008750235
14998333.3333,-0.000250469696811,-0.000521775400209,-64.74975109667145,-115.64256804347681
19996666.6667,0.000465214824916,-4.74770675338e-07,-66.64692455961078,-0.05847265614241553
24995000.0,0.000363901005058,-1.96336987338e-05,-68.76771108131885,-3.0883081294114008
29993333.3333,-0.000348652395523,4.73513247762e-05,-69.07277107156736,172.26584221239688
34991666.6667,2.96850553565e-05,-0.000251062230605,-71.9440776510428,-83.25677843432764
39990000.0,-3.83204130384e-05,0.000190349511848,-74.2364262939012,101.38241838806643
44988333.3333,-0.000247888875181,-3.70259578491e-05,-72.01903340036827,-171.50481177944243
49986666.6667,1.70927570941e-05,-5.10785127246e-05,-85.37425803059907,-71.49785554752955
54985000.0,0.000273829644975,8.95516176312e-05,-70.80910570658347,18.10950715436208
59983333.3333,-0.000233958184651,-0.000221568260259,-69.83681637778894,-136.55801140519563
64981666.6667,-0.000123043309688,-0.000409901662741,-67.37171667089471,-106.70858089119064
69980000.0,0.000323188881507,-0.000357830736512,-66.33588457635403,-47.91199072461672
74978333.3333,4.94438482003e-05,0.000132137061427,-77.01040062596866,69.48485079671754
79976666.6667,0.000203299178124,-0.00045073919942,-66.11727563578422,-65.7229564542902
84975000.0,-3.58929138854e-05,3.63187877385e-05,-85.83799732575702,134.66209781867394
89973333.3333,0.000192009188139,-9.7153913808e-06,-74.32245510661087,-2.896614518285516
94971666.6667,-0.000106217891812,0.000100233632229,-76.71029066545269,136.66032602521915
99970000.0,-5.91407740479e-05,3.79301297035e-05,-83.0659617607611,147.32578397639494
104968333.333,0.000107790409325,8.63286653804e-05,-77.1961717880407,38.69101917523621
109966666.667,2.12154192972e-05,-3.22175162569e-05,-88.2737886566016,-56.634866840279955
114965000.0,-1.74094302795e-05,7.83084994428e-05,-81.91430571565527,102.5340658175123
119963333.333,0.000241838992139,-9.36093788418e-05,-71.72315370953143,-21.16008229571028
124961666.667,-4.53715536187e-05,-8.16747052447e-05,-80.59018821910185,-119.05284438002178
129960000.0,6.64216252316e-05,1.79851463133e-05,-83.24652704540725,15.150818123449794
134958333.333,0.000156626289867,8.20785269807e-05,-75.04890462165308,27.65636125119206
139956666.667,-0.000167296859493,3.01764132346e-05,-75.39119362379162,169.77513568295308
144955000.0,-0.000104197991436,-3.06943120921e-05,-79.28141466793966,-163.58624908763755
149953333.333,-6.40623128196e-05,-9.33379081398e-05,-78.922493643753,-124.46368963696676
154951666.667,6.35101490654e-05,7.81716307256e-05,-79.93776079811626,50.90803998471458
159950000.0,5.71279885071e-05,-0.000104532872639,-78.47995307872166,-61.34306904517956
164948333.333,0.000222517117842,1.33320453957e-05,-73.03716921756055,3.4287602914075714
169946666.667,-7.88275229643e-05,-4.16059307184e-05,-80.9991529020217,-152.17447340120745
174945000.0,9.42920342273e-05,3.74299690977e-06,-80.50366186196554,2.273207799088252
179943333.333,5.11119755992e-05,-1.99171605955e-05,-85.2155943403372,-21.289717853244372
184941666.667,-6.46625545526e-05,-2.37459381791e-05,-83.23753208246882,-159.8353218946729
189940000.0,5.28085181563e-05,-8.27100760876e-05,-80.16387410447159,-57.442686709417735
194938333.333,-5.0360185654e-05,-2.95980934468e-05,-84.66966102410572,-149.5560518437292
199936666.667,-7.30963267643e-05,0.000100392050758,-78.11869528123742,126.05868906651135
204935000.0,7.63489518435e-06,-9.06887452833e-05,-80.81825963551177,-85.18773626890199
209933333.333,8.08512917997e-05,-8.14989480044e-06,-81.80235540252852,-5.756031669466346
214931666.667,1.95533255561e-05,6.67570586272e-05,-83.15258969779683,73.67454750738648
219930000.0,1.52978820378e-05,8.6810438654e-05,-81.09574652017753,80.00585101973502
224928333.333,-9.77136341038e-05,6.10886785896e-06,-80.1839553348914,176.42263429537468
229926666.667,7.1107118118e-05,1.6901663712e-05,-82.72305182507333,13.370685242686873
234925000.0,6.4042055471e-05,9.05195041008e-06,-83.78478635384907,8.045112983917678
239923333.333,1.57525436438e-05,-3.02448757821e-06,-95.89576829102768,-10.86852252891999
244921666.667,5.44754046172e-05,-3.29569616731e-05,-83.92145070556226,-31.173431475767284
249920000.0,-2.04270372533e-05,4.12541731287e-05,-86.73834069239113,116.3423498453293
254918333.333,0.000152500118365,-4.50029735895e-05,-75.97196239051226,-16.441395164445513
259916666.667,6.98511110602e-05,3.99409915953e-06,-83.10235721843642,3.2726194466123366
264915000.0,-8.7031498139e-05,-7.47503398177e-05,-78.80674979870108,-139.34110259940513
269913333.333,0.000126543381575,-9.42474946603e-05,-76.03873605326851,-36.67815377561287
274911666.667,4.11566384956e-05,-2.7652603694e-05,-86.0932353694964,-33.896633867877625
279910000.0,-0.000120094131224,4.90428357738e-05,-77.73972655798997,157.7863705978869
284908333.333,-0.000104039460272,-0.000105638348984,-76.57899802449887,-134.5631020761275
289906666.667,-0.000156042294718,9.30039345796e-05,-74.81500147440335,149.20431906083442
294905000.0,0.000103006708443,-3.24980092124e-05,-79.3305931831639,-17.510178264611692
299903333.333,-9.77992118051e-05,0.000151533281025,-74.87755708754007,122.83809992430754
304901666.667,-2.23787814637e-05,2.63938613126e-05,-89.21744144087268,130.2938872048507
309900000.0,0.000118863095844,-7.65248241286e-05,-76.99307055072649,-32.77369467086946
314898333.333,-0.000105192313305,7.34670725292e-05,-77.83495413465617,145.06927315514238
319896666.667,6.21436609205e-05,7.70636780804e-05,-80.08745338395389,51.11751580238263
324895000.0,-3.64312523353e-05,-6.17168765032e-05,-82.8935731316378,-120.5532021464875
329893333.333,-9.9922361344e-05,-7.45708503738e-05,-78.08401171093068,-143.26646474546897
334891666.667,4.40218035674e-05,9.51853382341e-05,-79.58679658374427,65.18016050530402
339890000.0,1.06195606334e-05,2.88834299115e-07,-99.47465752013727,1.5579653434080512
344888333.333,-1.18707968186e-05,6.98212745773e-05,-82.996488619025,99.64898654267026
349886666.667,-5.84342163252e-05,9.66288382219e-05,-78.94432253271965,121.1625508942279
354885000.0,-5.17511269582e-05,4.43711198258e-05,-83.32829625069387,139.39040232034733
359883333.333,4.60088183189e-05,2.0420425235e-05,-85.96226788928593,23.933429002879414
364881666.667,9.56623669828e-05,-0.000102791397739,-77.05151236203238,-47.05734474156633
369880000.0,-7.79352664756e-05,5.62301033889e-05,-80.34528758328764,144.18964405286155
374878333.333,-4.73516405741e-06,-4.42062758257e-05,-87.04077561442638,-96.11393688443653
379876666.667,5.96445677753e-05,9.00415474019e-05,-79.33116942538072,56.47904587784142
384875000.0,-5.4822275278e-06,-5.50838018727e-05,-85.13671546647046,-95.6836583475045
389873333.333,-3.60900091866e-06,3.89651797652e-05,-88.14936846837803,95.2917052008614
394871666.667,3.17146422054e-05,-3.31290861737e-05,-86.77087446370705,-46.2496014942026
399870000.0,-2.80800931974e-05,5.06620333969e-05,-84.74290225494639,118.99798380612165
404868333.333,-0.000105200324094,-1.1291141527e-05,-79.50991494818298,-173.87390082579927
409866666.667,3.21334647988e-05,4.20769771893e-05,-85.52372010936242,52.63164913905549
414865000.0,3.99125943131e-05,-0.000114834851268,-78.3032385431462,-70.83432919279038
419863333.333,3.93945034915e-05,0.000120869054891,-77.91524908156525,71.94780598638161
424861666.667,7.21739466557e-05,6.69768081735e-05,-80.13453467342885,42.86105539205488
