Frequency_Hz,Real,Imaginary,Magnitude_dB,Phase_deg
10000000.0,-0.000425684327114,0.000131989215842,-67.01958875583786,162.77323923175732
14998333.3333,0.00034121736086,-0.00061177076893,-63.091903488884036,-60.84924868973568
19996666.6667,-0.000392208358114,0.000185818172215,-67.25021026788991,154.64961651456807
24995000.0,0.000275345479172,0.000381351849765,-66.5512777939114,54.16978301429678
29993333.3333,0.000125638294511,-0.000343679878254,-68.7321669928474,-69.91921554151943
34991666.6667,1.71117046172e-05,-3.87044981653e-05,-87.46941125071876,-66.14922608821395
39990000.0,-9.79288656719e-05,0.000181860034572,-73.6994723556049,118.30178929654046
44988333.3333,-2.38944088849e-05,-0.000131357374577,-77.4895334265056,-100.3095963693681
49986666.6667,-2.60064889707e-06,-1.42623894557e-06,-110.5563913414646,-151.2589064980149
54985000.0,0.000308957486705,0.000365816539641,-66.39640514796112,49.81658421764465
59983333.3333,-0.000208250447909,-0.000244475589454,-69.86587345892251,-130.42519111033707
64981666.6667,0.000115397577077,4.41796344787e-05,-78.1620530767196,20.949202538673685
69980000.0,8.58898603588e-05,-1.71643231574e-05,-81.1510940169878,-11.301177421129005
74978333.3333,-5.07266023521e-05,-2.54600934423e-05,-84.91954733014582,-153.34755397737575
79976666.6667,5.62183370792e-05,-0.000142047719147,-76.31935323535242,-68.407788000529
84975000.0,5.00281861045e-05,0.000197783131517,-73.8068763017767,75.80507502932474
89973333.3333,0.00011670179278,4.35035007369e-05,-78.0933603917556,20.444193191146912
94971666.6667,-8.50286149812e-05,-0.000169318561824,-74.44921995116844,-116.66494720370355
99970000.0,0.00010787003874,0.000101952450525,-76.56980625179436,43.3845250358562
104968333.333,5.80586575169e-05,9.47164481425e-05,-79.08613991275398,58.49281314254248
109966666.667,0.000160843867877,-0.000210422962466,-71.53981159404464,-52.606295856933066
114965000.0,-2.90145091978e-05,-0.000202901828739,-73.76637044282046,-98.13799843764028
119963333.333,0.000151776634374,-4.10609740362e-05,-76.0691375704026,-15.138170663687802
124961666.667,-2.28414741992e-05,-3.48148021244e-05,-87.61000152095498,-123.26828496372339
129960000.0,2.77376140336e-05,-0.000186192018164,-74.50544977232053,-81.52678179383321
134958333.333,-0.000145931597809,-0.000162359108161,-73.21877753929121,-131.94983444023248
139956666.667,2.19081137041e-05,-6.45487796124e-05,-83.32873086876697,-71.25258236024077
144955000.0,4.10436219463e-05,4.38579137803e-05,-84.42721975522828,46.89852897329665
149953333.333,0.000100574756157,-2.62258557322e-05,-79.66452525007021,-14.614986764541145
154951666.667,-0.000110646634036,-4.04555561749e-06,-79.11543391096399,-177.9060361196899
159950000.0,7.52058579104e-05,2.08268793058e-05,-82.15405530487162,15.479092246640542
164948333.333,-2.97750161702e-05,-0.000188897769157,-74.36887880094989,-98.95754870376865
169946666.667,4.81045892736e-05,-7.2246714672e-05,-81.22995177612766,-56.342825486234005
174945000.0,2.48590384717e-05,8.75131281589e-06,-91.58291938686335,19.393978282256988
179943333.333,0.000110567176419,5.34598671156e-05,-78.21510601997274,25.80403459846736
184941666.667,2.29438218466e-05,4.70007884949e-05,-85.62964379512302,63.98030224181401
189940000.0,9.95053805506e-05,0.000117461186773,-76.25280036947898,49.7309261326669
194938333.333,3.45938054589e-05,6.8417223052e-05,-82.30796442261385,63.177466898227365
199936666.667,-3.53532605959e-05,-5.32212086755e-06,-88.93408660002285,-171.43891289152452
204935000.0,1.31387268825e-05,-3.7508965738e-06,-97.28866454175775,-15.9331976457963
209933333.333,-4.31036193416e-06,-7.03996217456e-05,-83.0323432985432,-93.50367841307225
214931666.667,-4.35811918544e-05,2.42381741331e-06,-87.20060527189943,176.8167096727023
219930000.0,2.61759966829e-05,-3.20566328433e-06,-91.5772841865267,-6.982004555579487
224928333.333,-3.34274134829e-06,-0.00010228222972,-79.7993601093334,-91.87184838690706
229926666.667,5.32045163961e-05,1.84961611549e-05,-84.98553396256585,19.16963364789831
234925000.0,1.72838496383e-05,8.57095743511e-05,-81.1663031604701,78.59886432173967
239923333.333,-1.86190017613e-05,4.88951828057e-05,-85.62660764830562,110.84654284805369
244921666.667,-3.77560244504e-05,-7.7824492186e-05,-81.25972488558743,-115.88002792808227
249920000.0,-4.57916200657e-05,3.57825370613e-05,-84.71435191636897,141.9951812054392
254918333.333,-6.75316247071e-06,7.34376676778e-06,-100.02019319927246,132.6009416740154
259916666.667,-1.08612824249e-05,0.000202223188317,-73.87087088558702,93.07436696013141
264915000.0,0.000116484109311,-4.10823471147e-05,-78.16550581597778,-19.427046991941317
269913333.333,0.000104016174222,0.000122387199057,-75.88414113211705,49.63898187653767
274911666.667,0.000116431219709,-6.71494066997e-05,-77.43155501263507,-29.97334957680042
279910000.0,2.18700830286e-05,2.87725354247e-05,-88.84003844213439,52.76143483943179
284908333.333,-2.6766500023e-05,3.12356526297e-05,-87.71571018156726,130.59398015328827
289906666.667,-1.30018677111e-05,6.86117969822e-05,-83.11880438963317,100.7302601518291
294905000.0,-0.000178281177352,-1.77577968687e-05,-74.93501494946219,-174.31178360774567
299903333.333,0.000167020292937,2.92096276393e-06,-75.54328707672656,1.0019248334614856
304901666.667,-9.8060447062e-05,-1.07153644722e-05,-80.11857241587259,-173.76385777327647
309900000.0,3.62341132807e-05,-7.44550593195e-05,-81.63899621077272,-64.04978170712842
314898333.333,-9.33855466169e-05,3.24831686788e-06,-80.58915524695401,178.00783047549004
319896666.667,4.26248671716e-05,5.68991584317e-06,-87.3300332902914,7.603360151847877
324895000.0,-5.75217322485e-05,3.0828032524e-05,-83.70680401934679,151.81148962411163
329893333.333,8.24489109564e-05,4.77991830475e-05,-80.41790537778375,30.102715616037568
334891666.667,-4.69110501591e-05,-4.27500842801e-05,-83.9488721396279,-137.65705822789943
339890000.0,-6.54088120035e-05,-6.92664539617e-05,-80.42098127923082,-133.35926677470073
344888333.333,7.86486563469e-05,8.29272146727e-05,-78.83972563522504,46.51684814600573
349886666.667,-8.89161279148e-05,0.000148269875331,-75.24473594813666,120.95074196576432
354885000.0,7.05226131475e-05,-1.34498428319e-06,-83.03185270755407,-1.0925939684530197
359883333.333,4.04972898553e-05,-1.2803753913e-05,-87.43771507602419,-17.5450389899306
364881666.667,-5.28520866829e-06,-4.38403924549e-05,-87.09984667003869,-96.87415794822527
369880000.0,7.45664751003e-05,1.51626583269e-05,-82.37316529566071,11.494051014493444
374878333.333,-5.94121771348e-05,-9.45011506121e-06,-84.41398040663712,-170.9622311245727
379876666.667,3.70273766041e-05,-3.02325395586e-05,-86.41107510943408,-39.2313470151776
