Voltage,Wavelength,InsertionLoss
0.500,1545.0198,-119.0536
0.500,1545.0199,-119.0534
0.500,1545.0200,-119.0538
0.500,1545.0201,-119.0540
0.500,1545.0202,-119.0539
0.500,1545.0203,-119.0545
0.500,1545.0204,-119.0546
0.500,1545.0205,-119.0539
0.500,1545.0206,-119.0535
0.500,1545.0207,-119.0540
0.500,1545.0208,-119.0543
0.500,1545.0209,-119.0540
0.500,1545.0210,-119.0540
0.500,1545.0211,-119.0540
0.500,1545.0212,-119.0539
0.500,1545.0213,-119.0532
0.500,1545.0214,-119.0531
0.500,1545.0215,-119.0538
0.500,1545.0216,-119.0538
0.500,1545.0217,-119.0533
0.500,1545.0218,-119.0531
0.500,1545.0219,-119.0534
0.500,1545.0220,-119.0529
0.500,1545.0221,-119.0531
0.500,1545.0222,-119.0534
0.500,1545.0223,-119.0535
0.500,1545.0224,-119.0531
0.500,1545.0225,-119.0531
0.500,1545.0226,-119.0538
0.500,1545.0227,-119.0535
0.500,1545.0228,-119.0535
0.500,1545.0229,-119.0533
0.500,1545.0230,-119.0533
0.500,1545.0231,-119.0529
0.500,1545.0232,-119.0528
0.500,1545.0233,-119.0534
0.500,1545.0234,-119.0535
0.500,1545.0235,-119.0533
0.500,1545.0236,-119.0532
0.500,1545.0237,-119.0539
0.500,1545.0238,-119.0534
0.500,1545.0239,-119.0533
0.500,1545.0240,-119.0537
0.500,1545.0241,-119.0542
0.500,1545.0242,-119.0540
0.500,1545.0243,-119.0534
0.500,1545.0244,-119.0537
0.500,1545.0245,-119.0541
0.500,1545.0246,-119.0538
0.500,1545.0247,-119.0535
0.500,1545.0248,-119.0537
0.500,1545.0249,-119.0540
0.500,1545.0250,-119.0535
0.500,1545.0251,-119.0534
0.500,1545.0252,-119.0537
0.500,1545.0253,-119.0535
0.500,1545.0254,-119.0533
0.500,1545.0255,-119.0534
0.500,1545.0256,-119.0538
0.500,1545.0257,-119.0535
0.500,1545.0258,-119.0536
0.500,1545.0259,-119.0539
0.500,1545.0260,-119.0542
0.500,1545.0261,-119.0537
0.500,1545.0262,-119.0531
0.500,1545.0263,-119.0541
0.500,1545.0264,-119.0542
0.500,1545.0265,-119.0540
0.500,1545.0266,-119.0535
0.500,1545.0267,-119.0535
0.500,1545.0268,-119.0532
0.500,1545.0269,-119.0528
0.500,1545.0270,-119.0531
0.500,1545.0271,-119.0534
0.500,1545.0272,-119.0539
0.500,1545.0273,-119.0534
0.500,1545.0274,-119.0537
0.500,1545.0275,-119.0536
0.500,1545.0276,-119.0532
0.500,1545.0277,-119.0532
0.500,1545.0278,-119.0534
0.500,1545.0279,-119.0536
0.500,1545.0280,-119.0528
0.500,1545.0281,-119.0531
0.500,1545.0282,-119.0536
0.500,1545.0283,-119.0536
0.500,1545.0284,-119.0538
0.500,1545.0285,-119.0539
0.500,1545.0286,-119.0542
0.500,1545.0287,-119.0538
0.500,1545.0288,-119.0535
0.500,1545.0289,-119.0536
0.500,1545.0290,-119.0539
0.500,1545.0291,-119.0536
0.500,1545.0292,-119.0530
0.500,1545.0293,-119.0537
0.500,1545.0294,-119.0537
0.500,1545.0295,-119.0535
0.500,1545.0296,-119.0537
0.500,1545.0297,-119.0541
0.500,1545.0298,-119.0542
0.500,1545.0299,-119.0534
0.500,1545.0300,-119.0537
0.500,1545.0301,-119.0538
0.500,1545.0302,-119.0538
0.500,1545.0303,-119.0536
0.500,1545.0304,-119.0535
0.500,1545.0305,-119.0541
0.500,1545.0306,-119.0536
0.500,1545.0307,-119.0535
0.500,1545.0308,-119.0539
0.500,1545.0309,-119.0547
0.500,1545.0310,-119.0540
0.500,1545.0311,-119.0539
0.500,1545.0312,-119.0543
0.500,1545.0313,-119.0542
0.500,1545.0314,-119.0541
0.500,1545.0315,-119.0538
0.500,1545.0316,-119.0540
0.500,1545.0317,-119.0543
0.500,1545.0318,-119.0536
0.500,1545.0319,-119.0534
0.500,1545.0320,-119.0539
0.500,1545.0321,-119.0544
0.500,1545.0322,-119.0544
0.500,1545.0323,-119.0538
0.500,1545.0324,-119.0542
0.500,1545.0325,-119.0542
0.500,1545.0326,-119.0543
0.500,1545.0327,-119.0546
0.500,1545.0328,-119.0549
0.500,1545.0329,-119.0546
0.500,1545.0330,-119.0543
0.500,1545.0331,-119.0549
0.500,1545.0332,-119.0546
0.500,1545.0333,-119.0550
0.500,1545.0334,-119.0549
0.500,1545.0335,-119.0549
0.500,1545.0336,-119.0554
0.500,1545.0337,-119.0547
0.500,1545.0338,-119.0547
0.500,1545.0339,-119.0550
0.500,1545.0340,-119.0549
0.500,1545.0341,-119.0546
0.500,1545.0342,-119.0540
0.500,1545.0343,-119.0544
0.500,1545.0344,-119.0540
0.500,1545.0345,-119.0540
0.500,1545.0346,-119.0539
0.500,1545.0347,-119.0544
0.500,1545.0348,-119.0544
0.500,1545.0349,-119.0537
0.500,1545.0350,-119.0539
0.500,1545.0351,-119.0535
0.500,1545.0352,-119.0536
0.500,1545.0353,-119.0536
0.500,1545.0354,-119.0535
0.500,1545.0355,-119.0541
0.500,1545.0356,-119.0537
0.500,1545.0357,-119.0534
0.500,1545.0358,-119.0538
0.500,1545.0359,-119.0536
0.500,1545.0360,-119.0534
0.500,1545.0361,-119.0529
0.500,1545.0362,-119.0531
0.500,1545.0363,-119.0530
0.500,1545.0364,-119.0529
0.500,1545.0365,-119.0530
0.500,1545.0366,-119.0531
0.500,1545.0367,-119.0533
0.500,1545.0368,-119.0530
0.500,1545.0369,-119.0528
0.500,1545.0370,-119.0530
0.500,1545.0371,-119.0529
0.500,1545.0372,-119.0535
0.500,1545.0373,-119.0529
0.500,1545.0374,-119.0528
0.500,1545.0375,-119.0531
0.500,1545.0376,-119.0527
0.500,1545.0377,-119.0528
0.500,1545.0378,-119.0531
0.500,1545.0379,-119.0535
0.500,1545.0380,-119.0536
0.500,1545.0381,-119.0528
0.500,1545.0382,-119.0533
0.500,1545.0383,-119.0534
0.500,1545.0384,-119.0535
0.500,1545.0385,-119.0534
0.500,1545.0386,-119.0535
0.500,1545.0387,-119.0540
0.500,1545.0388,-119.0536
0.500,1545.0389,-119.0533
0.500,1545.0390,-119.0534
0.500,1545.0391,-119.0536
0.500,1545.0392,-119.0540
0.500,1545.0393,-119.0537
0.500,1545.0394,-119.0537
0.500,1545.0395,-119.0542
0.500,1545.0396,-119.0535
0.500,1545.0397,-119.0532
0.500,1545.0398,-119.0530
0.500,1545.0399,-119.0534
0.500,1545.0400,-119.0535
0.500,1545.0401,-119.0527
0.500,1545.0402,-119.0529
0.500,1545.0403,-119.0529
0.500,1545.0404,-119.0529
0.500,1545.0405,-119.0529
0.500,1545.0406,-119.0525
0.500,1545.0407,-119.0529
0.500,1545.0408,-119.0529
0.500,1545.0409,-119.0523
0.500,1545.0410,-119.0523
0.500,1545.0411,-119.0522
0.500,1545.0412,-119.0526
0.500,1545.0413,-119.0520
0.500,1545.0414,-119.0522
0.500,1545.0415,-119.0524
0.500,1545.0416,-119.0523
0.500,1545.0417,-119.0514
0.500,1545.0418,-119.0515
0.500,1545.0419,-119.0512
0.500,1545.0420,-119.0519
0.500,1545.0421,-119.0523
0.500,1545.0422,-119.0511
0.500,1545.0423,-119.0512
0.500,1545.0424,-119.0522
0.500,1545.0425,-119.0516
0.500,1545.0426,-119.0502
0.500,1545.0427,-119.0505
0.500,1545.0428,-119.0525
0.500,1545.0429,-119.0527
0.500,1545.0430,-119.0513
0.500,1545.0431,-119.0500
0.500,1545.0432,-119.0519
0.500,1545.0433,-119.0525
0.500,1545.0434,-119.0514
0.500,1545.0435,-119.0506
0.500,1545.0436,-119.0507
0.500,1545.0437,-119.0500
0.500,1545.0438,-119.0497
0.500,1545.0439,-119.0514
0.500,1545.0440,-119.0519
0.500,1545.0441,-119.0511
0.500,1545.0442,-119.0493
0.500,1545.0443,-119.0494
0.500,1545.0444,-119.0512
0.500,1545.0445,-119.0518
0.500,1545.0446,-119.0508
0.500,1545.0447,-119.0493
0.500,1545.0448,-119.0492
0.500,1545.0449,-119.0505
0.500,1545.0450,-119.0509
0.500,1545.0451,-119.0495
0.500,1545.0452,-119.0498
0.500,1545.0453,-119.0504
0.500,1545.0454,-119.0501
0.500,1545.0455,-119.0499
0.500,1545.0456,-119.0499
0.500,1545.0457,-119.0504
0.500,1545.0458,-119.0494
0.500,1545.0459,-119.0493
0.500,1545.0460,-119.0499
0.500,1545.0461,-119.0502
0.500,1545.0462,-119.0490
0.500,1545.0463,-119.0496
0.500,1545.0464,-119.0501
0.500,1545.0465,-119.0504
0.500,1545.0466,-119.0497
0.500,1545.0467,-119.0496
0.500,1545.0468,-119.0494
0.500,1545.0469,-119.0500
0.500,1545.0470,-119.0500
0.500,1545.0471,-119.0490
0.500,1545.0472,-119.0485
0.500,1545.0473,-119.0486
0.500,1545.0474,-119.0493
0.500,1545.0475,-119.0497
0.500,1545.0476,-119.0494
0.500,1545.0477,-119.0493
0.500,1545.0478,-119.0489
0.500,1545.0479,-119.0489
0.500,1545.0480,-119.0496
0.500,1545.0481,-119.0505
0.500,1545.0482,-119.0493
0.500,1545.0483,-119.0484
0.500,1545.0484,-119.0490
0.500,1545.0485,-119.0498
0.500,1545.0486,-119.0491
0.500,1545.0487,-119.0484
0.500,1545.0488,-119.0486
0.500,1545.0489,-119.0492
0.500,1545.0490,-119.0488
0.500,1545.0491,-119.0490
0.500,1545.0492,-119.0489
0.500,1545.0493,-119.0479
0.500,1545.0494,-119.0477
0.500,1545.0495,-119.0478
0.500,1545.0496,-119.0485
0.500,1545.0497,-119.0479
0.500,1545.0498,-119.0478
0.500,1545.0499,-119.0476
0.500,1545.0500,-119.0475
0.500,1545.0501,-119.0474
0.500,1545.0502,-119.0483
0.500,1545.0503,-119.0477
0.500,1545.0504,-119.0468
0.500,1545.0505,-119.0474
0.500,1545.0506,-119.0482
0.500,1545.0507,-119.0482
0.500,1545.0508,-119.0475
0.500,1545.0509,-119.0479
0.500,1545.0510,-119.0474
0.500,1545.0511,-119.0474
0.500,1545.0512,-119.0473
0.500,1545.0513,-119.0480
0.500,1545.0514,-119.0477
0.500,1545.0515,-119.0475
0.500,1545.0516,-119.0479
0.500,1545.0517,-119.0479
0.500,1545.0518,-119.0474
0.500,1545.0519,-119.0474
0.500,1545.0520,-119.0482
0.500,1545.0521,-119.0477
0.500,1545.0522,-119.0474
0.500,1545.0523,-119.0472
0.500,1545.0524,-119.0471
0.500,1545.0525,-119.0470
0.500,1545.0526,-119.0473
0.500,1545.0527,-119.0481
0.500,1545.0528,-119.0478
0.500,1545.0529,-119.0477
0.500,1545.0530,-119.0476
0.500,1545.0531,-119.0477
0.500,1545.0532,-119.0474
0.500,1545.0533,-119.0480
0.500,1545.0534,-119.0478
0.500,1545.0535,-119.0478
0.500,1545.0536,-119.0474
0.500,1545.0537,-119.0484
0.500,1545.0538,-119.0481
0.500,1545.0539,-119.0474
0.500,1545.0540,-119.0470
0.500,1545.0541,-119.0472
0.500,1545.0542,-119.0475
0.500,1545.0543,-119.0469
0.500,1545.0544,-119.0472
0.500,1545.0545,-119.0468
0.500,1545.0546,-119.0466
0.500,1545.0547,-119.0462
0.500,1545.0548,-119.0467
0.500,1545.0549,-119.0468
0.500,1545.0550,-119.0464
0.500,1545.0551,-119.0470
0.500,1545.0552,-119.0472
0.500,1545.0553,-119.0469
0.500,1545.0554,-119.0468
0.500,1545.0555,-119.0476
0.500,1545.0556,-119.0472
0.500,1545.0557,-119.0465
0.500,1545.0558,-119.0467
0.500,1545.0559,-119.0471
0.500,1545.0560,-119.0468
0.500,1545.0561,-119.0471
0.500,1545.0562,-119.0476
0.500,1545.0563,-119.0474
0.500,1545.0564,-119.0462
0.500,1545.0565,-119.0459
0.500,1545.0566,-119.0467
0.500,1545.0567,-119.0464
0.500,1545.0568,-119.0466
0.500,1545.0569,-119.0467
0.500,1545.0570,-119.0471
0.500,1545.0571,-119.0464
0.500,1545.0572,-119.0466
0.500,1545.0573,-119.0474
0.500,1545.0574,-119.0471
0.500,1545.0575,-119.0465
0.500,1545.0576,-119.0462
0.500,1545.0577,-119.0468
0.500,1545.0578,-119.0464
0.500,1545.0579,-119.0464
0.500,1545.0580,-119.0467
0.500,1545.0581,-119.0466
0.500,1545.0582,-119.0462
0.500,1545.0583,-119.0462
0.500,1545.0584,-119.0472
0.500,1545.0585,-119.0469
0.500,1545.0586,-119.0467
0.500,1545.0587,-119.0466
0.500,1545.0588,-119.0469
0.500,1545.0589,-119.0465
0.500,1545.0590,-119.0470
0.500,1545.0591,-119.0476
0.500,1545.0592,-119.0468
0.500,1545.0593,-119.0464
0.500,1545.0594,-119.0466
0.500,1545.0595,-119.0470
0.500,1545.0596,-119.0466
0.500,1545.0597,-119.0465
0.500,1545.0598,-119.0468
0.500,1545.0599,-119.0467
0.500,1545.0600,-119.0467
0.500,1545.0601,-119.0463
0.500,1545.0602,-119.0472
0.500,1545.0603,-119.0468
0.500,1545.0604,-119.0465
0.500,1545.0605,-119.0464
0.500,1545.0606,-119.0461
0.500,1545.0607,-119.0459
0.500,1545.0608,-119.0461
0.500,1545.0609,-119.0471
0.500,1545.0610,-119.0468
0.500,1545.0611,-119.0463
0.500,1545.0612,-119.0461
0.500,1545.0613,-119.0462
0.500,1545.0614,-119.0455
0.500,1545.0615,-119.0456
0.500,1545.0616,-119.0456
0.500,1545.0617,-119.0454
0.500,1545.0618,-119.0448
0.500,1545.0619,-119.0446
0.500,1545.0620,-119.0455
0.500,1545.0621,-119.0456
0.500,1545.0622,-119.0453
0.500,1545.0623,-119.0451
0.500,1545.0624,-119.0454
0.500,1545.0625,-119.0452
0.500,1545.0626,-119.0450
0.500,1545.0627,-119.0457
0.500,1545.0628,-119.0455
0.500,1545.0629,-119.0451
0.500,1545.0630,-119.0447
0.500,1545.0631,-119.0452
0.500,1545.0632,-119.0449
0.500,1545.0633,-119.0450
0.500,1545.0634,-119.0456
0.500,1545.0635,-119.0455
0.500,1545.0636,-119.0452
0.500,1545.0637,-119.0447
0.500,1545.0638,-119.0454
0.500,1545.0639,-119.0454
0.500,1545.0640,-119.0456
0.500,1545.0641,-119.0453
0.500,1545.0642,-119.0455
0.500,1545.0643,-119.0454
0.500,1545.0644,-119.0449
0.500,1545.0645,-119.0461
0.500,1545.0646,-119.0462
0.500,1545.0647,-119.0462
0.500,1545.0648,-119.0452
0.500,1545.0649,-119.0452
0.500,1545.0650,-119.0455
0.500,1545.0651,-119.0451
0.500,1545.0652,-119.0448
0.500,1545.0653,-119.0450
0.500,1545.0654,-119.0449
0.500,1545.0655,-119.0448
0.500,1545.0656,-119.0441
0.500,1545.0657,-119.0448
0.500,1545.0658,-119.0451
0.500,1545.0659,-119.0449
0.500,1545.0660,-119.0449
0.500,1545.0661,-119.0450
0.500,1545.0662,-119.0450
0.500,1545.0663,-119.0443
0.500,1545.0664,-119.0448
0.500,1545.0665,-119.0448
0.500,1545.0666,-119.0443
0.500,1545.0667,-119.0437
0.500,1545.0668,-119.0439
0.500,1545.0669,-119.0445
0.500,1545.0670,-119.0444
0.500,1545.0671,-119.0447
0.500,1545.0672,-119.0448
0.500,1545.0673,-119.0450
0.500,1545.0674,-119.0444
0.500,1545.0675,-119.0437
0.500,1545.0676,-119.0442
0.500,1545.0677,-119.0445
0.500,1545.0678,-119.0444
0.500,1545.0679,-119.0443
0.500,1545.0680,-119.0448
0.500,1545.0681,-119.0452
0.500,1545.0682,-119.0450
0.500,1545.0683,-119.0456
0.500,1545.0684,-119.0459
0.500,1545.0685,-119.0456
0.500,1545.0686,-119.0449
0.500,1545.0687,-119.0447
0.500,1545.0688,-119.0453
0.500,1545.0689,-119.0454
0.500,1545.0690,-119.0454
0.500,1545.0691,-119.0458
0.500,1545.0692,-119.0461
0.500,1545.0693,-119.0459
0.500,1545.0694,-119.0457
0.500,1545.0695,-119.0462
0.500,1545.0696,-119.0464
0.500,1545.0697,-119.0462
0.500,1545.0698,-119.0458
0.500,1545.0699,-119.0461
0.500,1545.0700,-119.0464
0.500,1545.0701,-119.0459
0.500,1545.0702,-119.0460
0.500,1545.0703,-119.0465
0.500,1545.0704,-119.0467
0.500,1545.0705,-119.0465
0.500,1545.0706,-119.0459
0.500,1545.0707,-119.0464
0.500,1545.0708,-119.0467
0.500,1545.0709,-119.0464
0.500,1545.0710,-119.0464
0.500,1545.0711,-119.0462
0.500,1545.0712,-119.0466
0.500,1545.0713,-119.0458
0.500,1545.0714,-119.0458
0.500,1545.0715,-119.0464
0.500,1545.0716,-119.0464
0.500,1545.0717,-119.0468
0.500,1545.0718,-119.0463
0.500,1545.0719,-119.0468
0.500,1545.0720,-119.0461
0.500,1545.0721,-119.0458
0.500,1545.0722,-119.0460
0.500,1545.0723,-119.0467
0.500,1545.0724,-119.0465
0.500,1545.0725,-119.0464
0.500,1545.0726,-119.0459
0.500,1545.0727,-119.0465
0.500,1545.0728,-119.0470
0.500,1545.0729,-119.0470
0.500,1545.0730,-119.0468
0.500,1545.0731,-119.0468
0.500,1545.0732,-119.0469
0.500,1545.0733,-119.0469
0.500,1545.0734,-119.0463
0.500,1545.0735,-119.0471
0.500,1545.0736,-119.0476
0.500,1545.0737,-119.0477
0.500,1545.0738,-119.0476
0.500,1545.0739,-119.0471
0.500,1545.0740,-119.0475
0.500,1545.0741,-119.0473
0.500,1545.0742,-119.0474
0.500,1545.0743,-119.0473
0.500,1545.0744,-119.0473
0.500,1545.0745,-119.0475
0.500,1545.0746,-119.0466
0.500,1545.0747,-119.0467
0.500,1545.0748,-119.0473
0.500,1545.0749,-119.0471
