Frequency_Hz,Magnitude_dB
10000000.0,-61.423766405521306
14998333.3333,-70.57973805412787
19996666.6667,-83.49703393380693
24995000.0,-70.77320021440126
29993333.3333,-68.07883812567256
34991666.6667,-73.18912753186797
39990000.0,-73.69591606614168
44988333.3333,-70.31410968580761
49986666.6667,-70.45989450071858
54985000.0,-74.02882850025091
59983333.3333,-63.95848080320818
64981666.6667,-75.59228499136913
69980000.0,-71.89265180852867
74978333.3333,-70.17858230890818
79976666.6667,-71.20827866108884
84975000.0,-70.21911998966016
89973333.3333,-71.9057426386952
94971666.6667,-105.76232348898446
99970000.0,-79.80765858007798
104968333.333,-78.4196532910935
109966666.667,-74.2372215347887
114965000.0,-70.37692881922486
119963333.333,-79.58106921018111
124961666.667,-70.9112066010989
129960000.0,-72.59370946694914
134958333.333,-77.05974073560677
139956666.667,-85.20332497469852
144955000.0,-82.073239940935
149953333.333,-70.83428028678789
154951666.667,-76.01172138505473
159950000.0,-73.67085461337398
164948333.333,-77.71797772513335
169946666.667,-81.76675405318454
174945000.0,-75.91695582345326
179943333.333,-76.1111999359632
184941666.667,-88.28664935546429
189940000.0,-74.57223584297985
194938333.333,-76.10771613091377
199936666.667,-88.10566618539897
204935000.0,-77.04612206020252
209933333.333,-83.14497860257943
214931666.667,-80.32357178231402
219930000.0,-85.25747268549077
224928333.333,-74.34688471234023
229926666.667,-83.50569492112919
234925000.0,-77.76523782329758
239923333.333,-84.28393786716504
244921666.667,-86.2146578698412
249920000.0,-80.95954568803135
254918333.333,-77.47938894885773
259916666.667,-84.7207640688554
264915000.0,-76.1435410204479
269913333.333,-74.93684861068819
274911666.667,-81.37905202319628
279910000.0,-78.94364361513834
284908333.333,-80.94139835467834
289906666.667,-74.28018654766272
294905000.0,-84.46864318470463
299903333.333,-74.51790341713999
304901666.667,-78.61226851324076
309900000.0,-73.5465052055599
314898333.333,-71.09818557050913
319896666.667,-76.62772236827062
324895000.0,-74.22332523058176
329893333.333,-79.50544056730648
334891666.667,-78.69460053474357
339890000.0,-80.26723962117097
344888333.333,-81.2180757313092
349886666.667,-85.75362946470932
354885000.0,-79.48041933454464
359883333.333,-84.6118097054732
364881666.667,-75.51130821012097
369880000.0,-81.80864787300274
374878333.333,-92.48679610294468
379876666.667,-74.39366437777002
384875000.0,-79.46734624961854
389873333.333,-74.1553553189967
394871666.667,-72.60088765987967
399870000.0,-82.03736342191942
404868333.333,-81.62535269342959
409866666.667,-74.86932969635882
414865000.0,-74.85237273341887
419863333.333,-75.68596588261903
424861666.667,-77.9613337788379
429860000.0,-73.45457906385465
434858333.333,-78.50888053525372
439856666.667,-74.82627124961483
444855000.0,-74.94722387039266
449853333.333,-74.54748559823861
454851666.667,-80.53629091284205
459850000.0,-76.23092639391953
464848333.333,-82.02771093290251
469846666.667,-82.27307023802162
474845000.0,-75.79717996515177
479843333.333,-75.04814431619765
484841666.667,-78.37157719939438
489840000.0,-90.5161483870239
494838333.333,-74.09491313158048
499836666.667,-70.98166479998794
504835000.0,-74.23505716847008
509833333.333,-75.55049160619107
514831666.667,-77.31118529844082
519830000.0,-74.68500242187888
524828333.333,-74.50583142745253
529826666.667,-73.5072247001369
534825000.0,-79.31783868826486
539823333.333,-74.33146231118572
544821666.667,-78.36912174069427
549820000.0,-79.50436676205393
554818333.333,-82.56065523365368
559816666.667,-77.40627623505657
564815000.0,-73.74523615440366
569813333.333,-81.28195743977436
574811666.667,-91.84373855500306
579810000.0,-76.17384080439952
584808333.333,-77.17064319871811
589806666.667,-78.71784310105825
594805000.0,-81.90762659373118
599803333.333,-82.95236353946775
604801666.667,-76.36144886227083
609800000.0,-75.34401424138088
614798333.333,-80.15684498429042
619796666.667,-74.8042915547059
624795000.0,-75.91511678944411
629793333.333,-77.54242490706547
634791666.667,-77.59488892464417
