Frequency_Hz,Magnitude_dB
10000000.0,-68.55726692644477
14998333.3333,-63.06953491932291
19996666.6667,-66.8158358976651
24995000.0,-70.82655350633163
29993333.3333,-70.3977562229
34991666.6667,-72.28709492214618
39990000.0,-72.7141847655703
44988333.3333,-84.69917829420376
49986666.6667,-73.01103891346284
54985000.0,-73.88260695030226
59983333.3333,-70.56445318617115
64981666.6667,-69.83709803561824
69980000.0,-66.93544058479364
74978333.3333,-79.07437527056321
79976666.6667,-76.77979528062318
84975000.0,-70.38204637478208
89973333.3333,-76.28032646078844
94971666.6667,-79.75770787387323
99970000.0,-69.1647637749923
104968333.333,-73.96072552718734
109966666.667,-76.11960124045996
114965000.0,-72.01165002622548
119963333.333,-74.30998366209828
124961666.667,-74.27680351150977
129960000.0,-73.94547088845681
134958333.333,-80.19679032429997
139956666.667,-76.16747461020634
144955000.0,-80.6973743087019
149953333.333,-76.35101415283822
154951666.667,-92.80495234148587
159950000.0,-82.6068334501818
164948333.333,-80.11094044975772
169946666.667,-82.07968983434336
174945000.0,-88.15307861742934
179943333.333,-82.2050690100612
184941666.667,-101.46106278880649
189940000.0,-94.16652603878501
194938333.333,-83.20994274779508
199936666.667,-84.71686825604235
204935000.0,-83.42752308728846
209933333.333,-73.43222765562291
214931666.667,-83.38495396342537
219930000.0,-83.73807781974281
224928333.333,-83.49957375531798
229926666.667,-82.31634264808365
234925000.0,-77.73536420722216
239923333.333,-99.6867319626513
244921666.667,-79.58302130780979
249920000.0,-84.45626079246055
254918333.333,-75.3323207102157
259916666.667,-95.767618193842
264915000.0,-83.305241530472
269913333.333,-82.93967866976486
274911666.667,-77.45525828619141
279910000.0,-73.68036190101685
284908333.333,-76.5590617071258
289906666.667,-76.40837527608659
294905000.0,-78.5466969461826
299903333.333,-83.71784786384549
304901666.667,-85.53951818209647
309900000.0,-72.38759149687812
314898333.333,-79.85131103968999
319896666.667,-81.9966538541509
324895000.0,-83.40687956187426
329893333.333,-80.49547843571506
334891666.667,-75.40834272145409
339890000.0,-84.03784583989679
344888333.333,-86.1005546576874
349886666.667,-79.63132790850682
354885000.0,-74.18326882717386
359883333.333,-85.87407706737861
364881666.667,-78.45898555382055
369880000.0,-77.09335238915811
374878333.333,-79.86818359708909
379876666.667,-80.69081858720175
384875000.0,-78.59414441485164
389873333.333,-79.26447564056767
394871666.667,-78.16497713543075
399870000.0,-87.50983919068173
404868333.333,-74.3502409515909
409866666.667,-85.46912098876373
414865000.0,-80.7428797992442
419863333.333,-81.69225137408091
424861666.667,-78.43428058266005
429860000.0,-80.74450649453672
434858333.333,-83.2072783677967
439856666.667,-85.73711397566372
444855000.0,-81.17052804259137
449853333.333,-86.40613415552258
454851666.667,-87.16424640797074
459850000.0,-75.38489616726348
464848333.333,-85.96508452807828
469846666.667,-83.33670952964488
474845000.0,-78.1133683161468
479843333.333,-84.78393474431307
484841666.667,-82.44265367017283
489840000.0,-83.86315624520088
494838333.333,-79.68270262522663
499836666.667,-84.37638179283152
504835000.0,-78.28776427317945
509833333.333,-92.96585645522788
514831666.667,-80.84884228867455
519830000.0,-96.97024008083311
524828333.333,-91.66217357032698
529826666.667,-86.45928774236764
534825000.0,-83.94926189382463
539823333.333,-89.0914818403288
544821666.667,-81.08783331829189
549820000.0,-76.91111852004758
554818333.333,-85.7930424138672
559816666.667,-79.24308793059224
564815000.0,-81.74102818678037
569813333.333,-94.17770885540077
574811666.667,-84.73383439379914
579810000.0,-89.03724022587716
584808333.333,-81.73777269566324
589806666.667,-84.95955520482087
594805000.0,-78.6462326433921
599803333.333,-97.21153311535107
604801666.667,-80.72973383647073
609800000.0,-79.76017594317362
614798333.333,-90.31962549786856
619796666.667,-91.40040811610596
624795000.0,-89.92884376264087
629793333.333,-85.28968446657673
634791666.667,-86.39153037557486
639790000.0,-80.26386030023286
644788333.333,-85.89738152071479
649786666.667,-90.39898608301417
654785000.0,-85.46437127519673
659783333.333,-83.45213598101972
664781666.667,-86.64697313038934
669780000.0,-79.9129024347337
674778333.333,-83.6765626667807
679776666.667,-82.33274441411788
684775000.0,-85.6826519024261
689773333.333,-84.83024752506515
694771666.667,-83.37582142354316
699770000.0,-87.13254784719767
704768333.333,-88.11204994803533
709766666.667,-91.31400399967646
