Voltage (V),Wavelength (nm),Insertion Loss (dB)
0.000,1545.00,-14.5324
0.000,1545.00,-14.5351
0.000,1545.00,-14.5386
0.000,1545.00,-14.5394
0.000,1545.00,-14.5387
0.000,1545.00,-14.5344
0.000,1545.00,-14.5289
0.000,1545.00,-14.5293
0.000,1545.00,-14.5328
0.000,1545.00,-14.5378
0.000,1545.00,-14.5407
0.000,1545.00,-14.5390
0.000,1545.00,-14.5332
0.000,1545.00,-14.5278
0.000,1545.00,-14.5282
0.000,1545.00,-14.5305
0.000,1545.00,-14.5319
0.000,1545.00,-14.5352
0.000,1545.00,-14.5397
0.000,1545.00,-14.5408
0.000,1545.00,-14.5373
0.000,1545.00,-14.5308
0.000,1545.00,-14.5284
0.000,1545.00,-14.5302
0.000,1545.00,-14.5330
0.000,1545.00,-14.5385
0.000,1545.00,-14.5423
0.000,1545.00,-14.5404
0.000,1545.00,-14.5338
0.000,1545.00,-14.5283
0.000,1545.00,-14.5292
0.000,1545.00,-14.5316
0.000,1545.00,-14.5353
0.000,1545.00,-14.5373
0.000,1545.00,-14.5365
0.000,1545.00,-14.5349
0.000,1545.00,-14.5326
0.000,1545.00,-14.5283
0.000,1545.00,-14.5283
0.000,1545.00,-14.5329
0.000,1545.00,-14.5371
0.000,1545.00,-14.5380
0.000,1545.00,-14.5336
0.000,1545.00,-14.5288
0.000,1545.00,-14.5273
0.000,1545.00,-14.5281
0.000,1545.00,-14.5312
0.000,1545.00,-14.5355
0.000,1545.00,-14.5381
0.000,1545.00,-14.5356
0.000,1545.01,-14.5292
0.000,1545.01,-14.5268
0.000,1545.01,-14.5293
0.000,1545.01,-14.5332
0.000,1545.01,-14.5354
0.000,1545.01,-14.5359
0.000,1545.01,-14.5368
0.000,1545.01,-14.5357
0.000,1545.01,-14.5323
0.000,1545.01,-14.5271
0.000,1545.01,-14.5269
0.000,1545.01,-14.5314
0.000,1545.01,-14.5359
0.000,1545.01,-14.5376
0.000,1545.01,-14.5356
0.000,1545.01,-14.5322
0.000,1545.01,-14.5288
0.000,1545.01,-14.5269
0.000,1545.01,-14.5287
0.000,1545.01,-14.5353
0.000,1545.01,-14.5409
0.000,1545.01,-14.5374
0.000,1545.01,-14.5327
0.000,1545.01,-14.5309
0.000,1545.01,-14.5288
0.000,1545.01,-14.5274
0.000,1545.01,-14.5293
0.000,1545.01,-14.5340
0.000,1545.01,-14.5369
0.000,1545.01,-14.5362
0.000,1545.01,-14.5349
0.000,1545.01,-14.5342
0.000,1545.01,-14.5306
0.000,1545.01,-14.5265
0.000,1545.01,-14.5263
0.000,1545.01,-14.5314
0.000,1545.01,-14.5372
0.000,1545.01,-14.5378
0.000,1545.01,-14.5347
0.000,1545.01,-14.5322
0.000,1545.01,-14.5297
0.000,1545.01,-14.5258
0.000,1545.01,-14.5261
0.000,1545.01,-14.5309
0.000,1545.01,-14.5342
0.000,1545.01,-14.5338
0.000,1545.01,-14.5309
0.000,1545.01,-14.5269
0.000,1545.01,-14.5258
0.000,1545.01,-14.5294
0.000,1545.01,-14.5337
0.000,1545.01,-14.5360
0.000,1545.01,-14.5359
0.000,1545.01,-14.5308
0.000,1545.01,-14.5250
0.000,1545.01,-14.5252
0.000,1545.01,-14.5297
0.000,1545.01,-14.5328
0.000,1545.01,-14.5344
0.000,1545.01,-14.5355
0.000,1545.01,-14.5332
0.000,1545.01,-14.5282
0.000,1545.01,-14.5257
0.000,1545.01,-14.5268
0.000,1545.01,-14.5297
0.000,1545.01,-14.5328
0.000,1545.01,-14.5347
0.000,1545.01,-14.5344
0.000,1545.01,-14.5311
0.000,1545.01,-14.5271
0.000,1545.01,-14.5253
0.000,1545.01,-14.5280
0.000,1545.01,-14.5331
0.000,1545.01,-14.5368
0.000,1545.01,-14.5331
0.000,1545.01,-14.5277
0.000,1545.01,-14.5260
0.000,1545.01,-14.5275
0.000,1545.01,-14.5335
0.000,1545.01,-14.5361
0.000,1545.01,-14.5327
0.000,1545.01,-14.5301
0.000,1545.01,-14.5279
0.000,1545.01,-14.5276
0.000,1545.01,-14.5295
0.000,1545.01,-14.5337
0.000,1545.01,-14.5367
0.000,1545.01,-14.5373
0.000,1545.01,-14.5368
0.000,1545.01,-14.5343
0.000,1545.01,-14.5308
0.000,1545.01,-14.5276
0.000,1545.01,-14.5279
0.000,1545.01,-14.5316
0.000,1545.01,-14.5353
0.000,1545.01,-14.5358
0.000,1545.01,-14.5352
0.000,1545.01,-14.5327
0.000,1545.01,-14.5281
0.000,1545.01,-14.5258
0.000,1545.02,-14.5274
0.000,1545.02,-14.5312
0.000,1545.02,-14.5338
0.000,1545.02,-14.5336
0.000,1545.02,-14.5310
0.000,1545.02,-14.5257
0.000,1545.02,-14.5237
0.000,1545.02,-14.5253
0.000,1545.02,-14.5293
0.000,1545.02,-14.5327
0.000,1545.02,-14.5336
0.000,1545.02,-14.5305
0.000,1545.02,-14.5267
0.000,1545.02,-14.5252
0.000,1545.02,-14.5253
0.000,1545.02,-14.5272
0.000,1545.02,-14.5315
0.000,1545.02,-14.5349
0.000,1545.02,-14.5336
0.000,1545.02,-14.5284
0.000,1545.02,-14.5254
0.000,1545.02,-14.5248
0.000,1545.02,-14.5254
0.000,1545.02,-14.5290
0.000,1545.02,-14.5331
0.000,1545.02,-14.5336
0.000,1545.02,-14.5307
0.000,1545.02,-14.5274
0.000,1545.02,-14.5254
0.000,1545.02,-14.5248
0.000,1545.02,-14.5242
0.000,1545.02,-14.5275
0.000,1545.02,-14.5320
0.000,1545.02,-14.5318
0.000,1545.02,-14.5294
0.000,1545.02,-14.5264
0.000,1545.02,-14.5233
0.000,1545.02,-14.5233
0.000,1545.02,-14.5278
0.000,1545.02,-14.5321
0.000,1545.02,-14.5319
0.000,1545.02,-14.5310
0.000,1545.02,-14.5284
0.000,1545.02,-14.5255
0.000,1545.02,-14.5235
0.000,1545.02,-14.5247
0.000,1545.02,-14.5284
0.000,1545.02,-14.5303
0.000,1545.02,-14.5317
0.000,1545.02,-14.5316
0.000,1545.02,-14.5303
0.000,1545.02,-14.5256
0.000,1545.02,-14.5221
0.000,1545.02,-14.5242
0.000,1545.02,-14.5276
0.000,1545.02,-14.5306
0.000,1545.02,-14.5316
0.000,1545.02,-14.5273
0.000,1545.02,-14.5219
0.000,1545.02,-14.5214
0.000,1545.02,-14.5244
0.000,1545.02,-14.5271
0.000,1545.02,-14.5297
0.000,1545.02,-14.5302
0.000,1545.02,-14.5281
0.000,1545.02,-14.5238
0.000,1545.02,-14.5214
0.000,1545.02,-14.5213
0.000,1545.02,-14.5221
0.000,1545.02,-14.5240
0.000,1545.02,-14.5273
0.000,1545.02,-14.5309
0.000,1545.02,-14.5298
0.000,1545.02,-14.5256
0.000,1545.02,-14.5227
0.000,1545.02,-14.5211
0.000,1545.02,-14.5207
0.000,1545.02,-14.5247
0.000,1545.02,-14.5288
0.000,1545.02,-14.5275
0.000,1545.02,-14.5237
0.000,1545.02,-14.5214
0.000,1545.02,-14.5197
0.000,1545.02,-14.5205
0.000,1545.02,-14.5253
0.000,1545.02,-14.5285
0.000,1545.02,-14.5275
0.000,1545.02,-14.5250
0.000,1545.02,-14.5214
0.000,1545.02,-14.5181
0.000,1545.02,-14.5181
0.000,1545.02,-14.5218
0.000,1545.02,-14.5251
0.000,1545.02,-14.5266
0.000,1545.02,-14.5270
0.000,1545.02,-14.5257
0.000,1545.02,-14.5223
0.000,1545.02,-14.5190
0.000,1545.02,-14.5187
0.000,1545.02,-14.5205
0.000,1545.03,-14.5232
0.000,1545.03,-14.5255
0.000,1545.03,-14.5261
0.000,1545.03,-14.5248
0.000,1545.03,-14.5197
0.000,1545.03,-14.5172
0.000,1545.03,-14.5188
0.000,1545.03,-14.5208
0.000,1545.03,-14.5231
0.000,1545.03,-14.5261
0.000,1545.03,-14.5254
0.000,1545.03,-14.5210
0.000,1545.03,-14.5180
0.000,1545.03,-14.5188
0.000,1545.03,-14.5203
0.000,1545.03,-14.5232
0.000,1545.03,-14.5259
0.000,1545.03,-14.5261
0.000,1545.03,-14.5223
0.000,1545.03,-14.5193
0.000,1545.03,-14.5188
0.000,1545.03,-14.5190
0.000,1545.03,-14.5218
0.000,1545.03,-14.5262
0.000,1545.03,-14.5271
0.000,1545.03,-14.5238
0.000,1545.03,-14.5211
0.000,1545.03,-14.5188
0.000,1545.03,-14.5177
0.000,1545.03,-14.5211
0.000,1545.03,-14.5250
0.000,1545.03,-14.5258
0.000,1545.03,-14.5240
0.000,1545.03,-14.5216
0.000,1545.03,-14.5185
0.000,1545.03,-14.5171
0.000,1545.03,-14.5203
0.000,1545.03,-14.5239
0.000,1545.03,-14.5249
0.000,1545.03,-14.5240
0.000,1545.03,-14.5216
0.000,1545.03,-14.5177
0.000,1545.03,-14.5163
0.000,1545.03,-14.5176
0.000,1545.03,-14.5202
0.000,1545.03,-14.5227
0.000,1545.03,-14.5238
0.000,1545.03,-14.5246
0.000,1545.03,-14.5238
0.000,1545.03,-14.5213
0.000,1545.03,-14.5181
0.000,1545.03,-14.5160
0.000,1545.03,-14.5186
0.000,1545.03,-14.5213
0.000,1545.03,-14.5235
0.000,1545.03,-14.5218
0.000,1545.03,-14.5166
0.000,1545.03,-14.5141
0.000,1545.03,-14.5153
0.000,1545.03,-14.5174
0.000,1545.03,-14.5209
0.000,1545.03,-14.5231
0.000,1545.03,-14.5197
0.000,1545.03,-14.5158
0.000,1545.03,-14.5154
0.000,1545.03,-14.5160
0.000,1545.03,-14.5195
0.000,1545.03,-14.5224
0.000,1545.03,-14.5222
0.000,1545.03,-14.5183
0.000,1545.03,-14.5154
0.000,1545.03,-14.5139
0.000,1545.03,-14.5137
0.000,1545.03,-14.5171
0.000,1545.03,-14.5206
0.000,1545.03,-14.5222
0.000,1545.03,-14.5207
0.000,1545.03,-14.5189
0.000,1545.03,-14.5169
0.000,1545.03,-14.5146
0.000,1545.03,-14.5131
0.000,1545.03,-14.5153
0.000,1545.03,-14.5204
0.000,1545.03,-14.5216
0.000,1545.03,-14.5206
0.000,1545.03,-14.5187
0.000,1545.03,-14.5137
0.000,1545.03,-14.5120
0.000,1545.03,-14.5151
0.000,1545.03,-14.5182
0.000,1545.03,-14.5188
0.000,1545.03,-14.5183
0.000,1545.03,-14.5151
0.000,1545.03,-14.5115
0.000,1545.03,-14.5100
0.000,1545.03,-14.5115
0.000,1545.03,-14.5139
0.000,1545.03,-14.5156
0.000,1545.03,-14.5169
0.000,1545.03,-14.5182
0.000,1545.04,-14.5174
0.000,1545.04,-14.5133
0.000,1545.04,-14.5085
0.000,1545.04,-14.5083
0.000,1545.04,-14.5104
0.000,1545.04,-14.5120
0.000,1545.04,-14.5141
0.000,1545.04,-14.5161
0.000,1545.04,-14.5170
0.000,1545.04,-14.5136
0.000,1545.04,-14.5090
0.000,1545.04,-14.5074
0.000,1545.04,-14.5087
0.000,1545.04,-14.5141
0.000,1545.04,-14.5161
0.000,1545.04,-14.5115
0.000,1545.04,-14.5081
0.000,1545.04,-14.5078
0.000,1545.04,-14.5091
0.000,1545.04,-14.5144
0.000,1545.04,-14.5151
0.000,1545.04,-14.5121
0.000,1545.04,-14.5101
0.000,1545.04,-14.5081
0.000,1545.04,-14.5059
0.000,1545.04,-14.5044
0.000,1545.04,-14.5075
0.000,1545.04,-14.5124
0.000,1545.04,-14.5142
0.000,1545.04,-14.5139
0.000,1545.04,-14.5120
0.000,1545.04,-14.5102
0.000,1545.04,-14.5066
0.000,1545.04,-14.5027
0.000,1545.04,-14.5058
0.000,1545.04,-14.5107
0.000,1545.04,-14.5111
0.000,1545.04,-14.5114
0.000,1545.04,-14.5116
0.000,1545.04,-14.5085
0.000,1545.04,-14.5035
0.000,1545.04,-14.5017
0.000,1545.04,-14.5057
0.000,1545.04,-14.5089
0.000,1545.04,-14.5105
0.000,1545.04,-14.5116
0.000,1545.04,-14.5111
0.000,1545.04,-14.5074
0.000,1545.04,-14.5026
0.000,1545.04,-14.5015
0.000,1545.04,-14.5039
0.000,1545.04,-14.5067
0.000,1545.04,-14.5093
0.000,1545.04,-14.5111
0.000,1545.04,-14.5073
0.000,1545.04,-14.5019
0.000,1545.04,-14.5013
0.000,1545.04,-14.5025
0.000,1545.04,-14.5049
0.000,1545.04,-14.5095
0.000,1545.04,-14.5117
0.000,1545.04,-14.5082
0.000,1545.04,-14.5023
0.000,1545.04,-14.5009
0.000,1545.04,-14.5009
0.000,1545.04,-14.5025
0.000,1545.04,-14.5077
0.000,1545.04,-14.5103
0.000,1545.04,-14.5072
0.000,1545.04,-14.5030
