Voltage (V),Wavelength (nm),Insertion Loss (dB)
0.000,1545.02,-14.4171
0.000,1545.02,-14.4165
0.000,1545.02,-14.4178
0.000,1545.02,-14.4215
0.000,1545.02,-14.4257
0.000,1545.02,-14.4280
0.000,1545.02,-14.4264
0.000,1545.02,-14.4225
0.000,1545.02,-14.4195
0.000,1545.02,-14.4176
0.000,1545.02,-14.4170
0.000,1545.02,-14.4211
0.000,1545.02,-14.4250
0.000,1545.02,-14.4241
0.000,1545.02,-14.4210
0.000,1545.02,-14.4168
0.000,1545.02,-14.4148
0.000,1545.02,-14.4177
0.000,1545.02,-14.4226
0.000,1545.02,-14.4246
0.000,1545.02,-14.4243
0.000,1545.02,-14.4234
0.000,1545.02,-14.4201
0.000,1545.02,-14.4157
0.000,1545.02,-14.4138
0.000,1545.02,-14.4167
0.000,1545.02,-14.4213
0.000,1545.02,-14.4224
0.000,1545.02,-14.4235
0.000,1545.02,-14.4220
0.000,1545.02,-14.4175
0.000,1545.02,-14.4147
0.000,1545.02,-14.4155
0.000,1545.02,-14.4188
0.000,1545.02,-14.4214
0.000,1545.02,-14.4235
0.000,1545.02,-14.4238
0.000,1545.02,-14.4209
0.000,1545.02,-14.4156
0.000,1545.03,-14.4128
0.000,1545.03,-14.4148
0.000,1545.03,-14.4167
0.000,1545.03,-14.4210
0.000,1545.03,-14.4243
0.000,1545.03,-14.4210
0.000,1545.03,-14.4154
0.000,1545.03,-14.4134
0.000,1545.03,-14.4137
0.000,1545.03,-14.4167
0.000,1545.03,-14.4224
0.000,1545.03,-14.4236
0.000,1545.03,-14.4195
0.000,1545.03,-14.4162
0.000,1545.03,-14.4138
0.000,1545.03,-14.4132
0.000,1545.03,-14.4146
0.000,1545.03,-14.4183
0.000,1545.03,-14.4215
0.000,1545.03,-14.4226
0.000,1545.03,-14.4206
0.000,1545.03,-14.4178
0.000,1545.03,-14.4157
0.000,1545.03,-14.4125
0.000,1545.03,-14.4141
0.000,1545.03,-14.4189
0.000,1545.03,-14.4219
0.000,1545.03,-14.4222
0.000,1545.03,-14.4201
0.000,1545.03,-14.4168
0.000,1545.03,-14.4127
0.000,1545.03,-14.4123
0.000,1545.03,-14.4169
0.000,1545.03,-14.4202
0.000,1545.03,-14.4213
0.000,1545.03,-14.4207
0.000,1545.03,-14.4166
0.000,1545.03,-14.4115
0.000,1545.03,-14.4123
0.000,1545.03,-14.4167
0.000,1545.03,-14.4194
0.000,1545.03,-14.4206
0.000,1545.03,-14.4214
0.000,1545.03,-14.4177
0.000,1545.03,-14.4127
0.000,1545.03,-14.4113
0.000,1545.03,-14.4128
0.000,1545.03,-14.4159
0.000,1545.03,-14.4187
0.000,1545.03,-14.4212
0.000,1545.03,-14.4215
0.000,1545.03,-14.4152
0.000,1545.03,-14.4115
0.000,1545.03,-14.4120
0.000,1545.03,-14.4137
0.000,1545.03,-14.4174
0.000,1545.03,-14.4201
0.000,1545.03,-14.4167
0.000,1545.03,-14.4116
0.000,1545.03,-14.4099
0.000,1545.03,-14.4101
0.000,1545.03,-14.4152
0.000,1545.03,-14.4196
0.000,1545.03,-14.4181
0.000,1545.03,-14.4147
0.000,1545.03,-14.4116
0.000,1545.03,-14.4100
0.000,1545.03,-14.4133
0.000,1545.03,-14.4193
0.000,1545.03,-14.4193
0.000,1545.03,-14.4168
0.000,1545.03,-14.4144
0.000,1545.03,-14.4106
0.000,1545.03,-14.4081
0.000,1545.03,-14.4090
0.000,1545.03,-14.4134
0.000,1545.03,-14.4166
0.000,1545.03,-14.4173
0.000,1545.03,-14.4166
0.000,1545.03,-14.4145
0.000,1545.03,-14.4106
0.000,1545.03,-14.4072
0.000,1545.03,-14.4095
0.000,1545.03,-14.4136
0.000,1545.03,-14.4159
0.000,1545.03,-14.4166
0.000,1545.03,-14.4141
0.000,1545.03,-14.4087
0.000,1545.03,-14.4060
0.000,1545.03,-14.4085
0.000,1545.03,-14.4114
0.000,1545.03,-14.4135
0.000,1545.03,-14.4161
0.000,1545.03,-14.4167
0.000,1545.03,-14.4150
0.000,1545.03,-14.4109
0.000,1545.03,-14.4064
0.000,1545.03,-14.4067
0.000,1545.03,-14.4082
0.000,1545.03,-14.4103
0.000,1545.04,-14.4117
0.000,1545.04,-14.4148
0.000,1545.04,-14.4159
0.000,1545.04,-14.4121
0.000,1545.04,-14.4080
0.000,1545.04,-14.4062
0.000,1545.04,-14.4063
0.000,1545.04,-14.4073
0.000,1545.04,-14.4112
0.000,1545.04,-14.4150
0.000,1545.04,-14.4154
0.000,1545.04,-14.4097
0.000,1545.04,-14.4064
0.000,1545.04,-14.4051
0.000,1545.04,-14.4065
0.000,1545.04,-14.4133
0.000,1545.04,-14.4143
0.000,1545.04,-14.4112
0.000,1545.04,-14.4084
0.000,1545.04,-14.4039
0.000,1545.04,-14.4070
0.000,1545.04,-14.4116
0.000,1545.04,-14.4133
0.000,1545.04,-14.4126
0.000,1545.04,-14.4113
0.000,1545.04,-14.4103
0.000,1545.04,-14.4080
0.000,1545.04,-14.4038
0.000,1545.04,-14.4023
0.000,1545.04,-14.4048
0.000,1545.04,-14.4086
0.000,1545.04,-14.4109
0.000,1545.04,-14.4115
0.000,1545.04,-14.4116
0.000,1545.04,-14.4077
0.000,1545.04,-14.4021
0.000,1545.04,-14.4014
0.000,1545.04,-14.4054
0.000,1545.04,-14.4080
0.000,1545.04,-14.4096
0.000,1545.04,-14.4101
0.000,1545.04,-14.4065
0.000,1545.04,-14.4018
0.000,1545.04,-14.4007
0.000,1545.04,-14.4023
0.000,1545.04,-14.4037
0.000,1545.04,-14.4057
0.000,1545.04,-14.4084
0.000,1545.04,-14.4097
0.000,1545.04,-14.4073
0.000,1545.04,-14.4019
0.000,1545.04,-14.3999
0.000,1545.04,-14.4001
0.000,1545.04,-14.4017
0.000,1545.04,-14.4067
0.000,1545.04,-14.4090
0.000,1545.04,-14.4053
0.000,1545.04,-14.4006
0.000,1545.04,-14.3995
0.000,1545.04,-14.3989
0.000,1545.04,-14.4024
0.000,1545.04,-14.4070
0.000,1545.04,-14.4068
0.000,1545.04,-14.4041
0.000,1545.04,-14.4017
0.000,1545.04,-14.3996
0.000,1545.04,-14.3973
0.000,1545.04,-14.3992
0.000,1545.04,-14.4043
0.000,1545.04,-14.4060
0.000,1545.04,-14.4040
0.000,1545.04,-14.4026
0.000,1545.04,-14.3996
0.000,1545.04,-14.3953
0.000,1545.04,-14.3969
0.000,1545.04,-14.4019
0.000,1545.04,-14.4034
0.000,1545.04,-14.4033
0.000,1545.04,-14.4000
0.000,1545.04,-14.3936
0.000,1545.04,-14.3941
0.000,1545.04,-14.3969
0.000,1545.04,-14.3983
0.000,1545.04,-14.4000
0.000,1545.04,-14.4017
0.000,1545.04,-14.4003
0.000,1545.04,-14.3958
0.000,1545.04,-14.3920
0.000,1545.04,-14.3924
0.000,1545.04,-14.3946
0.000,1545.04,-14.3962
0.000,1545.04,-14.3995
0.000,1545.04,-14.4019
0.000,1545.04,-14.3973
0.000,1545.04,-14.3930
0.000,1545.04,-14.3931
0.000,1545.04,-14.3944
0.000,1545.04,-14.3982
0.000,1545.04,-14.4030
0.000,1545.04,-14.4002
0.000,1545.05,-14.3949
0.000,1545.05,-14.3935
0.000,1545.05,-14.3922
0.000,1545.05,-14.3912
0.000,1545.05,-14.3933
0.000,1545.05,-14.3980
0.000,1545.05,-14.4002
0.000,1545.05,-14.3980
0.000,1545.05,-14.3948
0.000,1545.05,-14.3930
0.000,1545.05,-14.3912
0.000,1545.05,-14.3895
0.000,1545.05,-14.3924
0.000,1545.05,-14.3963
0.000,1545.05,-14.3954
0.000,1545.05,-14.3932
0.000,1545.05,-14.3920
0.000,1545.05,-14.3881
0.000,1545.05,-14.3852
0.000,1545.05,-14.3889
0.000,1545.05,-14.3934
0.000,1545.05,-14.3943
0.000,1545.05,-14.3941
0.000,1545.05,-14.3933
0.000,1545.05,-14.3900
0.000,1545.05,-14.3858
0.000,1545.05,-14.3829
0.000,1545.05,-14.3846
0.000,1545.05,-14.3888
0.000,1545.05,-14.3918
0.000,1545.05,-14.3922
0.000,1545.05,-14.3930
0.000,1545.05,-14.3907
0.000,1545.05,-14.3876
0.000,1545.05,-14.3840
0.000,1545.05,-14.3843
0.000,1545.05,-14.3864
0.000,1545.05,-14.3895
0.000,1545.05,-14.3904
0.000,1545.05,-14.3902
0.000,1545.05,-14.3907
0.000,1545.05,-14.3905
0.000,1545.05,-14.3871
0.000,1545.05,-14.3842
0.000,1545.05,-14.3841
0.000,1545.05,-14.3902
0.000,1545.05,-14.3951
0.000,1545.05,-14.3926
0.000,1545.05,-14.3864
0.000,1545.05,-14.3849
0.000,1545.05,-14.3832
0.000,1545.05,-14.3850
0.000,1545.05,-14.3907
0.000,1545.05,-14.3920
0.000,1545.05,-14.3880
0.000,1545.05,-14.3836
0.000,1545.05,-14.3819
0.000,1545.05,-14.3824
0.000,1545.05,-14.3833
0.000,1545.05,-14.3849
0.000,1545.05,-14.3872
0.000,1545.05,-14.3875
0.000,1545.05,-14.3859
0.000,1545.05,-14.3832
0.000,1545.05,-14.3791
0.000,1545.05,-14.3810
0.000,1545.05,-14.3872
0.000,1545.05,-14.3875
0.000,1545.05,-14.3855
0.000,1545.05,-14.3831
0.000,1545.05,-14.3782
0.000,1545.05,-14.3777
0.000,1545.05,-14.3824
0.000,1545.05,-14.3849
0.000,1545.05,-14.3858
0.000,1545.05,-14.3846
0.000,1545.05,-14.3829
0.000,1545.05,-14.3787
0.000,1545.05,-14.3760
0.000,1545.05,-14.3761
0.000,1545.05,-14.3783
0.000,1545.05,-14.3804
0.000,1545.05,-14.3827
0.000,1545.05,-14.3852
0.000,1545.05,-14.3841
0.000,1545.05,-14.3811
0.000,1545.05,-14.3772
0.000,1545.05,-14.3750
0.000,1545.05,-14.3768
0.000,1545.05,-14.3786
0.000,1545.05,-14.3807
0.000,1545.05,-14.3833
0.000,1545.05,-14.3837
0.000,1545.05,-14.3796
0.000,1545.05,-14.3765
0.000,1545.05,-14.3749
0.000,1545.05,-14.3751
0.000,1545.05,-14.3784
0.000,1545.05,-14.3825
0.000,1545.05,-14.3829
0.000,1545.06,-14.3789
0.000,1545.06,-14.3760
0.000,1545.06,-14.3754
0.000,1545.06,-14.3737
0.000,1545.06,-14.3746
0.000,1545.06,-14.3790
0.000,1545.06,-14.3816
0.000,1545.06,-14.3804
0.000,1545.06,-14.3783
0.000,1545.06,-14.3762
0.000,1545.06,-14.3740
0.000,1545.06,-14.3712
0.000,1545.06,-14.3742
0.000,1545.06,-14.3804
0.000,1545.06,-14.3812
0.000,1545.06,-14.3789
0.000,1545.06,-14.3760
0.000,1545.06,-14.3715
0.000,1545.06,-14.3732
0.000,1545.06,-14.3787
0.000,1545.06,-14.3799
0.000,1545.06,-14.3790
0.000,1545.06,-14.3767
0.000,1545.06,-14.3715
0.000,1545.06,-14.3696
0.000,1545.06,-14.3730
0.000,1545.06,-14.3766
0.000,1545.06,-14.3779
0.000,1545.06,-14.3792
0.000,1545.06,-14.3771
0.000,1545.06,-14.3715
0.000,1545.06,-14.3691
0.000,1545.06,-14.3707
0.000,1545.06,-14.3732
0.000,1545.06,-14.3761
0.000,1545.06,-14.3782
0.000,1545.06,-14.3786
0.000,1545.06,-14.3744
0.000,1545.06,-14.3696
0.000,1545.06,-14.3688
0.000,1545.06,-14.3689
0.000,1545.06,-14.3705
0.000,1545.06,-14.3742
0.000,1545.06,-14.3770
0.000,1545.06,-14.3743
0.000,1545.06,-14.3692
0.000,1545.06,-14.3670
0.000,1545.06,-14.3664
0.000,1545.06,-14.3676
0.000,1545.06,-14.3725
0.000,1545.06,-14.3752
0.000,1545.06,-14.3721
0.000,1545.06,-14.3686
0.000,1545.06,-14.3668
0.000,1545.06,-14.3644
0.000,1545.06,-14.3681
0.000,1545.06,-14.3734
0.000,1545.06,-14.3737
0.000,1545.06,-14.3719
0.000,1545.06,-14.3704
0.000,1545.06,-14.3674
0.000,1545.06,-14.3639
0.000,1545.06,-14.3643
0.000,1545.06,-14.3696
0.000,1545.06,-14.3734
0.000,1545.06,-14.3728
0.000,1545.06,-14.3724
0.000,1545.06,-14.3699
0.000,1545.06,-14.3652
0.000,1545.06,-14.3625
0.000,1545.06,-14.3642
0.000,1545.06,-14.3678
0.000,1545.06,-14.3688
0.000,1545.06,-14.3700
0.000,1545.06,-14.3703
0.000,1545.06,-14.3683
0.000,1545.06,-14.3633
0.000,1545.06,-14.3597
0.000,1545.06,-14.3619
0.000,1545.06,-14.3640
0.000,1545.06,-14.3661
0.000,1545.06,-14.3689
0.000,1545.06,-14.3703
0.000,1545.06,-14.3652
0.000,1545.06,-14.3598
0.000,1545.06,-14.3596
0.000,1545.06,-14.3616
0.000,1545.06,-14.3631
0.000,1545.06,-14.3666
0.000,1545.06,-14.3686
0.000,1545.06,-14.3645
0.000,1545.06,-14.3601
0.000,1545.06,-14.3591
0.000,1545.06,-14.3585
0.000,1545.06,-14.3588
0.000,1545.06,-14.3640
0.000,1545.06,-14.3667
0.000,1545.06,-14.3639
0.000,1545.06,-14.3608
0.000,1545.06,-14.3589
0.000,1545.07,-14.3573
0.000,1545.07,-14.3568
0.000,1545.07,-14.3609
0.000,1545.07,-14.3647
0.000,1545.07,-14.3638
0.000,1545.07,-14.3612
0.000,1545.07,-14.3587
0.000,1545.07,-14.3553
0.000,1545.07,-14.3556
0.000,1545.07,-14.3601
0.000,1545.07,-14.3630
0.000,1545.07,-14.3625
0.000,1545.07,-14.3610
0.000,1545.07,-14.3585
0.000,1545.07,-14.3545
0.000,1545.07,-14.3524
0.000,1545.07,-14.3542
0.000,1545.07,-14.3592
0.000,1545.07,-14.3611
0.000,1545.07,-14.3619
0.000,1545.07,-14.3622
0.000,1545.07,-14.3596
0.000,1545.07,-14.3548
0.000,1545.07,-14.3533
0.000,1545.07,-14.3563
0.000,1545.07,-14.3591
0.000,1545.07,-14.3612
0.000,1545.07,-14.3622
0.000,1545.07,-14.3584
0.000,1545.07,-14.3535
0.000,1545.07,-14.3520
0.000,1545.07,-14.3527
0.000,1545.07,-14.3537
0.000,1545.07,-14.3575
0.000,1545.07,-14.3607
0.000,1545.07,-14.3603
0.000,1545.07,-14.3562
0.000,1545.07,-14.3515
0.000,1545.07,-14.3513
0.000,1545.07,-14.3510
0.000,1545.07,-14.3519
0.000,1545.07,-14.3550
0.000,1545.07,-14.3592
0.000,1545.07,-14.3588
0.000,1545.07,-14.3539
0.000,1545.07,-14.3516
0.000,1545.07,-14.3495
0.000,1545.07,-14.3477
0.000,1545.07,-14.3489
0.000,1545.07,-14.3537
0.000,1545.07,-14.3577
0.000,1545.07,-14.3550
0.000,1545.07,-14.3517
0.000,1545.07,-14.3482
0.000,1545.07,-14.3455
0.000,1545.07,-14.3501
0.000,1545.07,-14.3554
0.000,1545.07,-14.3541
0.000,1545.07,-14.3519
0.000,1545.07,-14.3483
0.000,1545.07,-14.3451
0.000,1545.07,-14.3465
0.000,1545.07,-14.3511
0.000,1545.07,-14.3532
0.000,1545.07,-14.3528
0.000,1545.07,-14.3531
0.000,1545.07,-14.3513
0.000,1545.07,-14.3464
0.000,1545.07,-14.3429
0.000,1545.07,-14.3445
0.000,1545.07,-14.3481
0.000,1545.07,-14.3499
0.000,1545.07,-14.3507
0.000,1545.07,-14.3512
0.000,1545.07,-14.3523
0.000,1545.07,-14.3515
0.000,1545.07,-14.3492
0.000,1545.07,-14.3453
