Frequency_Hz,Magnitude_dB
10000000.0,-54.17987597545639
14998333.3333,-64.82929096655842
19996666.6667,-63.78933825318826
24995000.0,-58.515220596407424
29993333.3333,-57.63847335500361
34991666.6667,-59.88452407191399
39990000.0,-62.64731022161659
44988333.3333,-61.444099831187316
49986666.6667,-60.038034297172445
54985000.0,-58.749813372578274
59983333.3333,-61.196824259413624
64981666.6667,-62.798915232354545
69980000.0,-61.803626674239574
74978333.3333,-62.79788597045514
79976666.6667,-59.806459646127614
84975000.0,-63.43647594407206
89973333.3333,-60.038431121536895
94971666.6667,-58.2529678299711
99970000.0,-62.13382086537241
104968333.333,-61.40706041694372
109966666.667,-60.13217615941202
114965000.0,-59.39460735557046
119963333.333,-60.32095903482948
124961666.667,-59.92188199940969
129960000.0,-60.99323632062198
134958333.333,-59.59540458019886
139956666.667,-60.99999812936445
144955000.0,-61.68772512671059
149953333.333,-60.96200968735137
154951666.667,-60.26587416165939
159950000.0,-61.93454983516777
164948333.333,-59.866229073699564
169946666.667,-61.19198408058509
174945000.0,-60.00133895412109
179943333.333,-60.29679935902485
184941666.667,-60.526089444198306
189940000.0,-60.444928302673276
194938333.333,-59.3833805773344
199936666.667,-60.15522958914311
204935000.0,-61.149805795720134
209933333.333,-60.82043814573736
214931666.667,-60.82954858498644
219930000.0,-61.12375957660289
224928333.333,-61.98933722579767
229926666.667,-60.39221761326714
234925000.0,-60.41861213493252
239923333.333,-61.09130958175168
244921666.667,-60.8808594998841
249920000.0,-61.43143231195407
254918333.333,-60.92108850692391
259916666.667,-60.36320574209669
264915000.0,-61.15277590673255
269913333.333,-61.69977416025496
274911666.667,-60.67774167484744
279910000.0,-61.10665246160755
284908333.333,-60.79775446183463
289906666.667,-60.78744401890776
294905000.0,-61.59407941619989
299903333.333,-59.41189007517886
304901666.667,-58.99175432674953
309900000.0,-60.679650434744694
314898333.333,-60.20680603451885
319896666.667,-60.48206603200899
324895000.0,-60.04900135259555
329893333.333,-60.264747356836224
334891666.667,-60.05603537797181
339890000.0,-61.515762547041916
344888333.333,-61.52870158331105
349886666.667,-60.840101900672074
354885000.0,-61.28686561607235
359883333.333,-59.4890349221934
364881666.667,-60.27892205385275
369880000.0,-61.337158122193074
374878333.333,-61.05860093593782
379876666.667,-60.791398558806684
384875000.0,-60.42442423605938
389873333.333,-59.87139670178638
394871666.667,-61.78629194013532
399870000.0,-60.00836732593746
404868333.333,-61.32712060960337
409866666.667,-60.81086901546322
414865000.0,-60.82658408024641
419863333.333,-59.5599720490842
424861666.667,-59.83927067022893
429860000.0,-61.1763570297874
434858333.333,-61.01586956359735
439856666.667,-60.5361342534933
444855000.0,-60.9025873060206
449853333.333,-60.14216872176645
454851666.667,-60.04772360490777
459850000.0,-60.89651086240981
464848333.333,-59.806618534228484
469846666.667,-60.125123323690005
474845000.0,-61.1529984128109
479843333.333,-61.22660607348203
484841666.667,-61.0793331857043
489840000.0,-59.79515646434399
494838333.333,-61.38967117597329
499836666.667,-60.45598754380977
504835000.0,-60.61086459044888
509833333.333,-59.76980180447971
514831666.667,-60.33595694486658
519830000.0,-59.704003478685635
524828333.333,-61.62580278325326
529826666.667,-60.80312764896423
534825000.0,-61.318673571374106
539823333.333,-60.42445884943477
544821666.667,-60.853296170670134
549820000.0,-60.67485067888775
554818333.333,-61.01414386225353
559816666.667,-59.94037791394896
564815000.0,-60.6284550803898
569813333.333,-60.21304181109167
574811666.667,-60.012569431191174
579810000.0,-61.101189957200255
584808333.333,-60.4169947427245
589806666.667,-60.21962875136589
594805000.0,-60.505285505624144
599803333.333,-60.24977114529207
604801666.667,-60.47880960251848
609800000.0,-60.96832002657842
614798333.333,-60.59663242332998
619796666.667,-61.00245886062396
624795000.0,-60.77776892582577
629793333.333,-60.390319105646036
634791666.667,-60.30324143610393
639790000.0,-60.53032632987077
644788333.333,-60.72814212060326
649786666.667,-60.30052420294158
654785000.0,-60.14322444134934
659783333.333,-60.09211776081393
664781666.667,-60.26172107683407
669780000.0,-59.59293700507966
674778333.333,-60.36846695662974
679776666.667,-60.38083389002122
684775000.0,-59.948248358769504
689773333.333,-59.8313299262065
694771666.667,-59.4847701901498
699770000.0,-60.130881706472
704768333.333,-59.70419355678367
709766666.667,-59.72161790735838
714765000.0,-60.50240328551749
719763333.333,-59.57138881580556
724761666.667,-59.94904860091598
729760000.0,-59.64460063622312
734758333.333,-59.811784038749416
739756666.667,-59.67309956500503
744755000.0,-58.97691499996625
749753333.333,-59.593760993593804
754751666.667,-59.09974750166523
759750000.0,-60.03401783631618
764748333.333,-60.10310636959361
769746666.667,-59.78101989561134
774745000.0,-59.93988237085368
779743333.333,-59.75904120145798
784741666.667,-59.69863904745948
789740000.0,-59.73890228454827
794738333.333,-59.86862517214992
799736666.667,-59.92823140750315
804735000.0,-60.34952370578629
809733333.333,-59.84173888446727
814731666.667,-59.83944359099932
819730000.0,-59.45191986801461
824728333.333,-59.09900363192981
829726666.667,-59.75065289512398
834725000.0,-59.68074975972597
839723333.333,-59.52992464915588
844721666.667,-59.78360827148714
849720000.0,-60.290618151233815
854718333.333,-60.28966364825034
859716666.667,-60.02132066108919
864715000.0,-59.06142149908115
869713333.333,-60.22471533711802
874711666.667,-59.758910575353966
879710000.0,-59.593934329333145
884708333.333,-60.16852101039654
889706666.667,-59.81343621733557
894705000.0,-59.606075029610224
899703333.333,-59.584508096175846
904701666.667,-59.293730741802065
909700000.0,-59.15329198622243
914698333.333,-59.4628163359117
919696666.667,-59.875660733680185
924695000.0,-59.39550979674124
929693333.333,-59.65266560789793
934691666.667,-59.22799370808684
939690000.0,-59.29391497128496
944688333.333,-59.72358001838284
949686666.667,-59.57786664448946
954685000.0,-59.47609398642808
959683333.333,-59.347348463500694
964681666.667,-59.47868769866487
969680000.0,-59.795713457365814
974678333.333,-59.729438697065184
979676666.667,-59.61058768169593
984675000.0,-59.57544085418146
989673333.333,-59.531592418754684
994671666.667,-59.36651338221411
999670000.0,-59.33393719397594
1004668333.33,-59.69079904931696
1009666666.67,-59.0853686407198
1014665000.0,-59.832098038700735
1019663333.33,-59.64114744087589
1024661666.67,-59.69552948515563
