Frequency_Hz,Real,Imaginary,Magnitude_dB,Phase_deg
10000000.0,0.000318620439089,0.000459328923512,-65.05147137445752,55.252305203761644
14998333.3333,-0.000729586978536,0.000164625719368,-62.52278479899531,167.28459088172823
19996666.6667,8.22216384234e-05,8.54530458659e-05,-78.51933731626575,46.10406107405055
24995000.0,0.000652419312206,0.000243602477648,-63.14264416732335,20.4747922918562
29993333.3333,-6.38514135847e-05,-0.000595494024421,-64.45280566116865,-96.12011534472619
34991666.6667,0.000188202962492,-1.52821927281e-05,-74.4789295177888,-4.642266339535142
39990000.0,0.000260010611659,6.25951546442e-05,-71.45550199785187,13.535857908997732
44988333.3333,0.000141596027679,4.56883763927e-05,-76.548839267598,17.883181925498125
49986666.6667,1.70343876961e-05,-0.000146037239848,-76.65203657572378,-83.34684852291176
54985000.0,-2.41393981111e-05,0.000543578049002,-65.28620549927838,92.54273974813236
59983333.3333,-8.77595789179e-05,-0.000117016882447,-76.6969391115126,-126.86893154723488
64981666.6667,-0.000180373877516,8.95492371981e-05,-73.91968428141975,153.59723065423492
69980000.0,6.81215491548e-05,-0.00011711308618,-77.36221467995291,-59.81458142830279
74978333.3333,0.000173272511662,-0.000120962740403,-73.5012652314692,-34.919160019219284
79976666.6667,-9.002890888e-07,-0.000113082534769,-78.93181404519021,-90.45614183881693
84975000.0,-1.47680321038e-05,-8.3671142528e-05,-81.41525673563807,-100.00966417247594
89973333.3333,1.54985797092e-06,3.65826514492e-05,-88.72670837348858,87.57406186248319
94971666.6667,-2.00230109271e-05,-0.000161810788443,-75.75385353288277,-97.0541130434294
99970000.0,-0.000176151525421,0.000128583444745,-73.22730192720314,143.8720770277265
104968333.333,-6.54822651968e-05,0.000394590222285,-67.95908870172617,99.42236789523224
109966666.667,-4.33461706939e-05,-6.62127204071e-05,-82.03216558035693,-123.21077158315434
114965000.0,-5.62636272549e-05,6.46478499856e-06,-84.9384833790917,173.44536375166084
119963333.333,3.58137421813e-05,-2.47582970188e-05,-87.22253895581545,-34.656383492357286
124961666.667,-4.6967555389e-06,-0.000299421944301,-70.47325901420123,-90.89867228123715
129960000.0,0.00012281115472,-0.000118051910016,-75.37320054088818,-43.86803252152253
134958333.333,0.000130034175265,-0.000124030720899,-74.90898244823244,-43.646374984110516
