2026/1/10,15:53:26,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.01710000,-104.16008266,,,
1545.01720000,-104.16070858,,,
1545.01730000,-104.15967034,,,
1545.01740000,-104.15908923,,,
1545.01750000,-104.16008072,,,
1545.01760000,-104.15940159,,,
1545.01770000,-104.15987583,,,
1545.01780000,-104.16033570,,,
1545.01790000,-104.15941334,,,
1545.01800000,-104.15908525,,,
1545.01810000,-104.15873085,,,
1545.01820000,-104.15915672,,,
1545.01830000,-104.16052989,,,
1545.01840000,-104.16025690,,,
1545.01850000,-104.16030666,,,
1545.01860000,-104.15846452,,,
1545.01870000,-104.15938183,,,
1545.01880000,-104.16045686,,,
1545.01890000,-104.15950253,,,
1545.01900000,-104.16072710,,,
1545.01910000,-104.16070326,,,
1545.01920000,-104.15991225,,,
1545.01930000,-104.15979768,,,
1545.01940000,-104.16129704,,,
1545.01950000,-104.15892484,,,
1545.01960000,-104.15814077,,,
1545.01970000,-104.15889182,,,
1545.01980000,-104.15836849,,,
1545.01990000,-104.15901203,,,
1545.02000000,-104.16014268,,,
1545.02010000,-104.16044941,,,
1545.02020000,-104.16018542,,,
1545.02030000,-104.15796564,,,
1545.02040000,-104.15652568,,,
1545.02050000,-104.15835628,,,
1545.02060000,-104.15809730,,,
1545.02070000,-104.15869811,,,
1545.02080000,-104.15807036,,,
1545.02090000,-104.15879552,,,
1545.02100000,-104.15925881,,,
1545.02110000,-104.15979320,,,
1545.02120000,-104.15883288,,,
1545.02130000,-104.15612016,,,
1545.02140000,-104.15764504,,,
1545.02150000,-104.15726541,,,
1545.02160000,-104.15679817,,,
1545.02170000,-104.15743715,,,
1545.02180000,-104.15862924,,,
1545.02190000,-104.15786599,,,
1545.02200000,-104.15971260,,,
1545.02210000,-104.15979759,,,
1545.02220000,-104.15851869,,,
1545.02230000,-104.15993004,,,
1545.02240000,-104.15865668,,,
1545.02250000,-104.15906419,,,
1545.02260000,-104.15891336,,,
1545.02270000,-104.15840112,,,
1545.02280000,-104.15977411,,,
1545.02290000,-104.16024262,,,
