2026/1/10,15:44:05,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,-10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.01710000,-36.67688238,,,
1545.01720000,-36.66803478,,,
1545.01730000,-36.66352682,,,
1545.01740000,-36.66389191,,,
1545.01750000,-36.67545907,,,
1545.01760000,-36.68801464,,,
1545.01770000,-36.69669842,,,
1545.01780000,-36.69509336,,,
1545.01790000,-36.68824133,,,
1545.01800000,-36.67961596,,,
1545.01810000,-36.67581403,,,
1545.01820000,-36.67882922,,,
1545.01830000,-36.69489187,,,
1545.01840000,-36.70670499,,,
1545.01850000,-36.70427811,,,
1545.01860000,-36.69886169,,,
1545.01870000,-36.69454852,,,
1545.01880000,-36.69089153,,,
1545.01890000,-36.69513892,,,
1545.01900000,-36.70645440,,,
1545.01910000,-36.71445496,,,
1545.01920000,-36.71747846,,,
1545.01930000,-36.71305915,,,
1545.01940000,-36.70610043,,,
1545.01950000,-36.69984619,,,
1545.01960000,-36.69409475,,,
1545.01970000,-36.69362020,,,
1545.01980000,-36.70275157,,,
1545.01990000,-36.71488115,,,
1545.02000000,-36.72113855,,,
1545.02010000,-36.71535019,,,
1545.02020000,-36.70180853,,,
1545.02030000,-36.69258366,,,
1545.02040000,-36.68961346,,,
1545.02050000,-36.69833364,,,
1545.02060000,-36.70880421,,,
1545.02070000,-36.71068424,,,
1545.02080000,-36.70031288,,,
1545.02090000,-36.69073765,,,
1545.02100000,-36.68909004,,,
1545.02110000,-36.69053617,,,
1545.02120000,-36.69614526,,,
1545.02130000,-36.70445882,,,
1545.02140000,-36.71180174,,,
1545.02150000,-36.70832720,,,
1545.02160000,-36.70210668,,,
1545.02170000,-36.69486755,,,
1545.02180000,-36.68834504,,,
1545.02190000,-36.68947704,,,
1545.02200000,-36.69633088,,,
1545.02210000,-36.70889031,,,
1545.02220000,-36.71426305,,,
1545.02230000,-36.71628187,,,
1545.02240000,-36.70728413,,,
1545.02250000,-36.70007808,,,
1545.02260000,-36.69933055,,,
1545.02270000,-36.70533940,,,
1545.02280000,-36.71851421,,,
1545.02290000,-36.72630582,,,
1545.02300000,-36.72881267,,,
1545.02310000,-36.71924413,,,
1545.02320000,-36.70607361,,,
1545.02330000,-36.70068820,,,
1545.02340000,-36.70240620,,,
1545.02350000,-36.70572437,,,
1545.02360000,-36.71774688,,,
1545.02370000,-36.72810391,,,
1545.02380000,-36.72675439,,,
1545.02390000,-36.71836050,,,
1545.02400000,-36.70676062,,,
1545.02410000,-36.70150144,,,
1545.02420000,-36.70427371,,,
1545.02430000,-36.71085453,,,
1545.02440000,-36.71935455,,,
1545.02450000,-36.72493623,,,
1545.02460000,-36.72225956,,,
1545.02470000,-36.71176792,,,
1545.02480000,-36.70240863,,,
1545.02490000,-36.70075073,,,
1545.02500000,-36.69863954,,,
1545.02510000,-36.70419237,,,
1545.02520000,-36.71150730,,,
1545.02530000,-36.72190558,,,
1545.02540000,-36.71751065,,,
1545.02550000,-36.70980514,,,
1545.02560000,-36.69594623,,,
1545.02570000,-36.69448505,,,
1545.02580000,-36.69982231,,,
1545.02590000,-36.70681598,,,
1545.02600000,-36.70914060,,,
1545.02610000,-36.70964803,,,
1545.02620000,-36.70820156,,,
1545.02630000,-36.70218325,,,
1545.02640000,-36.69569454,,,
1545.02650000,-36.68939720,,,
1545.02660000,-36.69468608,,,
1545.02670000,-36.70380556,,,
1545.02680000,-36.71681515,,,
1545.02690000,-36.71718801,,,
1545.02700000,-36.70658438,,,
1545.02710000,-36.70181616,,,
1545.02720000,-36.70353342,,,
1545.02730000,-36.71741248,,,
1545.02740000,-36.72785494,,,
1545.02750000,-36.73325196,,,
1545.02760000,-36.73081591,,,
1545.02770000,-36.72112667,,,
1545.02780000,-36.70953918,,,
1545.02790000,-36.70252915,,,
1545.02800000,-36.70388129,,,
1545.02810000,-36.70743604,,,
1545.02820000,-36.71071866,,,
1545.02830000,-36.71541091,,,
1545.02840000,-36.71030482,,,
1545.02850000,-36.70130025,,,
1545.02860000,-36.68668687,,,
1545.02870000,-36.68054911,,,
1545.02880000,-36.68619396,,,
1545.02890000,-36.69934763,,,
1545.02900000,-36.70814383,,,
1545.02910000,-36.70421390,,,
1545.02920000,-36.69306239,,,
1545.02930000,-36.68552229,,,
1545.02940000,-36.68471220,,,
1545.02950000,-36.69123165,,,
1545.02960000,-36.69788242,,,
1545.02970000,-36.70517058,,,
1545.02980000,-36.71053147,,,
1545.02990000,-36.70358039,,,
1545.03000000,-36.70129445,,,
1545.03010000,-36.68680080,,,
1545.03020000,-36.68232606,,,
1545.03030000,-36.69356742,,,
1545.03040000,-36.70069251,,,
1545.03050000,-36.70926661,,,
1545.03060000,-36.70762898,,,
1545.03070000,-36.70080967,,,
1545.03080000,-36.69145480,,,
1545.03090000,-36.68568643,,,
1545.03100000,-36.69519023,,,
1545.03110000,-36.70602819,,,
1545.03120000,-36.70641694,,,
1545.03130000,-36.69545722,,,
1545.03140000,-36.68839649,,,
1545.03150000,-36.68212459,,,
1545.03160000,-36.69087102,,,
1545.03170000,-36.69986860,,,
1545.03180000,-36.70022907,,,
1545.03190000,-36.69676784,,,
1545.03200000,-36.68795928,,,
1545.03210000,-36.67892608,,,
1545.03220000,-36.67280048,,,
1545.03230000,-36.67219019,,,
1545.03240000,-36.67541284,,,
1545.03250000,-36.68194767,,,
1545.03260000,-36.69627223,,,
1545.03270000,-36.69314297,,,
1545.03280000,-36.68826501,,,
1545.03290000,-36.67249014,,,
1545.03300000,-36.66870128,,,
1545.03310000,-36.67706315,,,
1545.03320000,-36.68662845,,,
1545.03330000,-36.68817907,,,
1545.03340000,-36.67955738,,,
1545.03350000,-36.67290770,,,
1545.03360000,-36.66702919,,,
1545.03370000,-36.66620938,,,
1545.03380000,-36.67716727,,,
1545.03390000,-36.68594093,,,
1545.03400000,-36.69323588,,,
1545.03410000,-36.69765512,,,
1545.03420000,-36.69682251,,,
1545.03430000,-36.69061345,,,
1545.03440000,-36.68255083,,,
1545.03450000,-36.68152511,,,
1545.03460000,-36.68439409,,,
1545.03470000,-36.68890869,,,
1545.03480000,-36.70055322,,,
1545.03490000,-36.71035049,,,
1545.03500000,-36.70698078,,,
1545.03510000,-36.69936944,,,
1545.03520000,-36.69388514,,,
1545.03530000,-36.69264917,,,
1545.03540000,-36.68977456,,,
1545.03550000,-36.70276707,,,
1545.03560000,-36.71747569,,,
1545.03570000,-36.72511625,,,
1545.03580000,-36.72122924,,,
1545.03590000,-36.71306828,,,
1545.03600000,-36.70387653,,,
1545.03610000,-36.69792497,,,
1545.03620000,-36.69985557,,,
1545.03630000,-36.71203121,,,
1545.03640000,-36.73032152,,,
1545.03650000,-36.72615823,,,
1545.03660000,-36.71883190,,,
1545.03670000,-36.70991076,,,
1545.03680000,-36.70866460,,,
1545.03690000,-36.71441461,,,
1545.03700000,-36.72161674,,,
1545.03710000,-36.71631913,,,
1545.03720000,-36.70528260,,,
1545.03730000,-36.69763343,,,
1545.03740000,-36.68969294,,,
1545.03750000,-36.68224920,,,
1545.03760000,-36.67612209,,,
1545.03770000,-36.68150070,,,
1545.03780000,-36.68801892,,,
1545.03790000,-36.69616126,,,
1545.03800000,-36.69369443,,,
1545.03810000,-36.68972613,,,
1545.03820000,-36.68316963,,,
1545.03830000,-36.67257318,,,
1545.03840000,-36.66540881,,,
1545.03850000,-36.66875383,,,
1545.03860000,-36.67345516,,,
1545.03870000,-36.69037897,,,
1545.03880000,-36.70162298,,,
1545.03890000,-36.69793148,,,
1545.03900000,-36.69646640,,,
1545.03910000,-36.69197970,,,
1545.03920000,-36.69095455,,,
1545.03930000,-36.69740336,,,
1545.03940000,-36.71089348,,,
1545.03950000,-36.71979965,,,
1545.03960000,-36.71946223,,,
1545.03970000,-36.71314778,,,
1545.03980000,-36.70471936,,,
1545.03990000,-36.70220920,,,
1545.04000000,-36.70650382,,,
1545.04010000,-36.72050288,,,
1545.04020000,-36.73212205,,,
1545.04030000,-36.74145074,,,
1545.04040000,-36.73792691,,,
1545.04050000,-36.72457313,,,
1545.04060000,-36.71502861,,,
1545.04070000,-36.71351803,,,
1545.04080000,-36.72447070,,,
1545.04090000,-36.73418803,,,
1545.04100000,-36.73432970,,,
1545.04110000,-36.72564207,,,
1545.04120000,-36.71233424,,,
1545.04130000,-36.69907610,,,
1545.04140000,-36.69028021,,,
1545.04150000,-36.69417404,,,
1545.04160000,-36.70566923,,,
1545.04170000,-36.71590108,,,
1545.04180000,-36.70859468,,,
1545.04190000,-36.70108227,,,
1545.04200000,-36.69078803,,,
1545.04210000,-36.68540209,,,
1545.04220000,-36.69003154,,,
1545.04230000,-36.69531003,,,
1545.04240000,-36.70877073,,,
1545.04250000,-36.71163049,,,
1545.04260000,-36.69849656,,,
1545.04270000,-36.68398443,,,
1545.04280000,-36.67844281,,,
1545.04290000,-36.68799085,,,
1545.04300000,-36.69665009,,,
1545.04310000,-36.69597558,,,
1545.04320000,-36.69117034,,,
1545.04330000,-36.68389043,,,
1545.04340000,-36.67394037,,,
1545.04350000,-36.66250377,,,
1545.04360000,-36.65722875,,,
1545.04370000,-36.66335678,,,
1545.04380000,-36.67610978,,,
1545.04390000,-36.68717422,,,
1545.04400000,-36.68787812,,,
1545.04410000,-36.68288602,,,
1545.04420000,-36.66878643,,,
1545.04430000,-36.66104410,,,
1545.04440000,-36.66418052,,,
1545.04450000,-36.67522101,,,
1545.04460000,-36.68568552,,,
1545.04470000,-36.69458658,,,
1545.04480000,-36.68610754,,,
1545.04490000,-36.68006079,,,
1545.04500000,-36.67676770,,,
1545.04510000,-36.67936684,,,
1545.04520000,-36.68819217,,,
1545.04530000,-36.69850370,,,
1545.04540000,-36.70328087,,,
1545.04550000,-36.69957650,,,
1545.04560000,-36.68935171,,,
1545.04570000,-36.68155704,,,
1545.04580000,-36.67903144,,,
1545.04590000,-36.68183669,,,
1545.04600000,-36.68972445,,,
1545.04610000,-36.70211221,,,
1545.04620000,-36.71331326,,,
1545.04630000,-36.70902788,,,
1545.04640000,-36.69690831,,,
1545.04650000,-36.68763021,,,
1545.04660000,-36.69025450,,,
1545.04670000,-36.70325274,,,
1545.04680000,-36.71558179,,,
1545.04690000,-36.71531912,,,
1545.04700000,-36.70852500,,,
1545.04710000,-36.70348810,,,
1545.04720000,-36.69763522,,,
1545.04730000,-36.69332359,,,
1545.04740000,-36.69826683,,,
1545.04750000,-36.70455178,,,
1545.04760000,-36.70925386,,,
1545.04770000,-36.71567791,,,
1545.04780000,-36.71966841,,,
1545.04790000,-36.72203100,,,
1545.04800000,-36.71513080,,,
1545.04810000,-36.70566033,,,
1545.04820000,-36.69840413,,,
1545.04830000,-36.69629387,,,
1545.04840000,-36.70075940,,,
1545.04850000,-36.71069024,,,
1545.04860000,-36.72111524,,,
1545.04870000,-36.72618021,,,
1545.04880000,-36.72446317,,,
1545.04890000,-36.71421742,,,
1545.04900000,-36.70797931,,,
1545.04910000,-36.70036941,,,
1545.04920000,-36.70575780,,,
1545.04930000,-36.72243438,,,
1545.04940000,-36.72808932,,,
1545.04950000,-36.72210734,,,
1545.04960000,-36.70878176,,,
1545.04970000,-36.70197319,,,
1545.04980000,-36.70132737,,,
1545.04990000,-36.70884804,,,
1545.05000000,-36.71269242,,,
1545.05010000,-36.70903035,,,
1545.05020000,-36.70259828,,,
1545.05030000,-36.69527378,,,
1545.05040000,-36.69040695,,,
1545.05050000,-36.69158728,,,
1545.05060000,-36.70276970,,,
1545.05070000,-36.71514814,,,
1545.05080000,-36.72482471,,,
1545.05090000,-36.72610353,,,
1545.05100000,-36.71521227,,,
1545.05110000,-36.70508760,,,
1545.05120000,-36.70097256,,,
1545.05130000,-36.70862834,,,
1545.05140000,-36.72229976,,,
1545.05150000,-36.73060333,,,
1545.05160000,-36.72618223,,,
1545.05170000,-36.71453089,,,
1545.05180000,-36.70588040,,,
1545.05190000,-36.70282076,,,
1545.05200000,-36.71706646,,,
1545.05210000,-36.72813004,,,
1545.05220000,-36.73143723,,,
1545.05230000,-36.72396952,,,
1545.05240000,-36.71432293,,,
1545.05250000,-36.70638212,,,
1545.05260000,-36.69622668,,,
1545.05270000,-36.70044779,,,
1545.05280000,-36.71086440,,,
1545.05290000,-36.72354326,,,
1545.05300000,-36.72474310,,,
1545.05310000,-36.71727953,,,
1545.05320000,-36.70713587,,,
1545.05330000,-36.69874484,,,
1545.05340000,-36.69811329,,,
1545.05350000,-36.69312019,,,
1545.05360000,-36.69739077,,,
1545.05370000,-36.70619898,,,
1545.05380000,-36.71237129,,,
1545.05390000,-36.71082768,,,
1545.05400000,-36.70053768,,,
1545.05410000,-36.68807262,,,
1545.05420000,-36.68028715,,,
1545.05430000,-36.67423999,,,
1545.05440000,-36.67629091,,,
1545.05450000,-36.68909503,,,
1545.05460000,-36.69932367,,,
1545.05470000,-36.70143668,,,
1545.05480000,-36.70203779,,,
1545.05490000,-36.68815567,,,
1545.05500000,-36.67719218,,,
1545.05510000,-36.67444118,,,
1545.05520000,-36.68605283,,,
1545.05530000,-36.70355235,,,
1545.05540000,-36.70868527,,,
1545.05550000,-36.70546276,,,
1545.05560000,-36.69606940,,,
1545.05570000,-36.68389925,,,
1545.05580000,-36.67470467,,,
1545.05590000,-36.67851537,,,
1545.05600000,-36.68964963,,,
1545.05610000,-36.69562160,,,
1545.05620000,-36.69550551,,,
1545.05630000,-36.67798013,,,
1545.05640000,-36.66773433,,,
1545.05650000,-36.67505199,,,
1545.05660000,-36.68626387,,,
1545.05670000,-36.69937787,,,
1545.05680000,-36.70512366,,,
1545.05690000,-36.69918665,,,
1545.05700000,-36.69273211,,,
1545.05710000,-36.68995331,,,
1545.05720000,-36.69453107,,,
1545.05730000,-36.70734809,,,
1545.05740000,-36.71520394,,,
1545.05750000,-36.72244049,,,
1545.05760000,-36.72085033,,,
1545.05770000,-36.71286145,,,
1545.05780000,-36.70255741,,,
1545.05790000,-36.70344055,,,
1545.05800000,-36.71770181,,,
1545.05810000,-36.72163353,,,
1545.05820000,-36.72486713,,,
1545.05830000,-36.72190576,,,
1545.05840000,-36.71244589,,,
1545.05850000,-36.70111011,,,
1545.05860000,-36.69231162,,,
1545.05870000,-36.69754184,,,
1545.05880000,-36.69927308,,,
1545.05890000,-36.71606794,,,
1545.05900000,-36.72093399,,,
1545.05910000,-36.71342325,,,
1545.05920000,-36.70224518,,,
1545.05930000,-36.69544611,,,
1545.05940000,-36.68492502,,,
1545.05950000,-36.68714787,,,
1545.05960000,-36.69866529,,,
1545.05970000,-36.71101002,,,
1545.05980000,-36.70592066,,,
1545.05990000,-36.69482820,,,
1545.06000000,-36.68415551,,,
1545.06010000,-36.67006243,,,
1545.06020000,-36.67926489,,,
1545.06030000,-36.69309268,,,
1545.06040000,-36.70111698,,,
1545.06050000,-36.69706553,,,
1545.06060000,-36.68510277,,,
1545.06070000,-36.66816354,,,
1545.06080000,-36.66727762,,,
1545.06090000,-36.67380772,,,
1545.06100000,-36.68502783,,,
1545.06110000,-36.69175390,,,
1545.06120000,-36.68925672,,,
1545.06130000,-36.68050554,,,
1545.06140000,-36.67053569,,,
1545.06150000,-36.66502309,,,
1545.06160000,-36.66290101,,,
1545.06170000,-36.66664883,,,
1545.06180000,-36.67264472,,,
1545.06190000,-36.68420967,,,
1545.06200000,-36.69467841,,,
1545.06210000,-36.69551717,,,
1545.06220000,-36.68605927,,,
1545.06230000,-36.67291745,,,
1545.06240000,-36.66208292,,,
1545.06250000,-36.66456527,,,
1545.06260000,-36.67179046,,,
1545.06270000,-36.67886249,,,
1545.06280000,-36.68582827,,,
1545.06290000,-36.68693392,,,
1545.06300000,-36.68265943,,,
1545.06310000,-36.66741146,,,
1545.06320000,-36.65169050,,,
1545.06330000,-36.64954420,,,
1545.06340000,-36.66863750,,,
1545.06350000,-36.68003315,,,
1545.06360000,-36.68078390,,,
1545.06370000,-36.67392569,,,
1545.06380000,-36.66053076,,,
1545.06390000,-36.66178532,,,
1545.06400000,-36.67029627,,,
1545.06410000,-36.68045254,,,
1545.06420000,-36.69040963,,,
1545.06430000,-36.69463386,,,
1545.06440000,-36.69149500,,,
1545.06450000,-36.68553971,,,
1545.06460000,-36.67945554,,,
1545.06470000,-36.68118874,,,
1545.06480000,-36.68303044,,,
1545.06490000,-36.69643854,,,
1545.06500000,-36.71356933,,,
1545.06510000,-36.72169377,,,
1545.06520000,-36.71783842,,,
1545.06530000,-36.70565890,,,
1545.06540000,-36.69716401,,,
1545.06550000,-36.69970543,,,
1545.06560000,-36.70499516,,,
1545.06570000,-36.70951885,,,
1545.06580000,-36.71077884,,,
