Frequency_Hz,Magnitude_dB
10000000.0,-67.808768759853
14998333.3333,-69.63436141045386
19996666.6667,-82.40089054045293
24995000.0,-69.16557780822636
29993333.3333,-77.5369124483568
34991666.6667,-71.98539402787415
39990000.0,-72.94540226005549
44988333.3333,-71.90652061482362
49986666.6667,-81.32858058158484
54985000.0,-74.76434078911585
59983333.3333,-71.45890821596134
64981666.6667,-69.29412185231155
69980000.0,-77.00353648561071
74978333.3333,-73.98036367028831
79976666.6667,-78.94602832816261
84975000.0,-73.50911017030913
89973333.3333,-78.97504451500657
94971666.6667,-85.24903271455537
99970000.0,-75.45387192022152
104968333.333,-85.86024212138514
109966666.667,-82.20275504940288
114965000.0,-75.83272110373707
119963333.333,-83.16155656358696
124961666.667,-72.22153564552349
129960000.0,-73.05821427182104
134958333.333,-89.4618283955922
139956666.667,-86.76434579297947
144955000.0,-92.6193042378889
149953333.333,-79.81722575202711
154951666.667,-76.88555526907304
159950000.0,-75.50943594351936
164948333.333,-80.1945280650608
169946666.667,-78.14664241028248
174945000.0,-80.03384047510681
179943333.333,-83.19117488125542
184941666.667,-80.10425681705634
189940000.0,-81.72152658478053
194938333.333,-80.33521544623909
199936666.667,-84.81501209904046
204935000.0,-87.04342211364926
209933333.333,-88.7492170090549
214931666.667,-80.80305358746219
219930000.0,-78.98634834328014
224928333.333,-87.2554765498214
229926666.667,-82.2706658580538
234925000.0,-86.4785384781767
239923333.333,-80.8969489822593
244921666.667,-82.55712597238207
249920000.0,-82.65810216746382
254918333.333,-81.35699640349493
259916666.667,-77.85472826512502
264915000.0,-79.93136165190963
269913333.333,-73.67120843575883
274911666.667,-86.40935780026565
279910000.0,-81.63182483494607
284908333.333,-90.58239222485868
289906666.667,-73.56342326321229
294905000.0,-79.60914995098585
299903333.333,-85.08544933790284
304901666.667,-84.511625961026
309900000.0,-75.2785652566596
314898333.333,-75.09056197110594
319896666.667,-73.79771598479473
324895000.0,-80.99325695795915
329893333.333,-76.51180293411636
334891666.667,-85.29470899357256
339890000.0,-79.28993938338162
344888333.333,-85.68873357801868
349886666.667,-87.27977254883004
354885000.0,-80.82291541213249
359883333.333,-81.87963740987513
364881666.667,-81.79683884763236
369880000.0,-72.7166710510957
374878333.333,-83.88102753862731
379876666.667,-78.81893783451132
384875000.0,-77.49611075655389
389873333.333,-88.47258739947173
394871666.667,-78.23086555728806
399870000.0,-83.70729218125605
404868333.333,-72.87572369594172
409866666.667,-81.693874555073
414865000.0,-80.36394175147916
419863333.333,-85.8112368346649
424861666.667,-86.88220769252746
429860000.0,-78.53096175295944
434858333.333,-81.03514710047114
439856666.667,-81.41735178764651
444855000.0,-78.8093926119562
449853333.333,-85.35313477893786
454851666.667,-82.33164441914289
459850000.0,-99.0544743892427
464848333.333,-86.23364821439225
469846666.667,-81.01355177015888
474845000.0,-78.65311696583176
479843333.333,-81.47240381237005
484841666.667,-81.5034168077093
489840000.0,-89.26710975133395
494838333.333,-85.8345309130206
499836666.667,-79.5628633885198
504835000.0,-80.5995109653241
509833333.333,-86.99434002594876
514831666.667,-88.179834690261
519830000.0,-78.66809075512506
524828333.333,-85.92791887652848
529826666.667,-78.1122640357417
534825000.0,-83.68104084598505
539823333.333,-88.10309640542299
544821666.667,-81.0828617943312
549820000.0,-82.94452511539595
554818333.333,-90.8532798277686
559816666.667,-83.06457615348876
564815000.0,-77.44872936501467
569813333.333,-84.68002147489044
574811666.667,-106.96161915174038
579810000.0,-81.44490249915935
584808333.333,-89.60562466818041
589806666.667,-79.63490830644301
594805000.0,-88.95550603670327
599803333.333,-94.66091997012633
604801666.667,-88.12132540358475
609800000.0,-103.41121473798202
614798333.333,-86.47827761793499
619796666.667,-93.58326873754064
624795000.0,-78.80555087028317
629793333.333,-79.41068293503048
634791666.667,-87.02902215914588
639790000.0,-81.58766069170561
644788333.333,-83.73373918526991
649786666.667,-82.57424469049724
654785000.0,-82.24407534880498
659783333.333,-79.33653384932525
664781666.667,-95.90726391978484
669780000.0,-80.03239508032337
674778333.333,-84.63887776840842
679776666.667,-83.10990645170968
684775000.0,-103.03602223067195
689773333.333,-86.40014939945007
694771666.667,-87.73696701748172
699770000.0,-91.09322704321778
704768333.333,-80.26393511381355
