Frequency_Hz,Magnitude_dB
10000000.0,-64.88828748349998
14998333.3333,-61.369007363464725
19996666.6667,-76.35510226583091
24995000.0,-82.1806589358598
29993333.3333,-66.02126005024118
34991666.6667,-67.31515863262926
39990000.0,-65.95551868482295
44988333.3333,-64.71578877460534
49986666.6667,-70.80392221062225
54985000.0,-64.9488933200775
59983333.3333,-65.86386492805377
64981666.6667,-70.2227076917219
69980000.0,-73.91148813492946
74978333.3333,-75.04208857629288
79976666.6667,-75.83349462869383
84975000.0,-68.66510880539668
89973333.3333,-82.93646834391245
94971666.6667,-74.66901227846407
99970000.0,-85.67256618881048
104968333.333,-67.67153987517267
109966666.667,-68.30267589119502
114965000.0,-80.07830118702614
119963333.333,-74.61293270347669
124961666.667,-69.00022325300581
129960000.0,-68.7204469583668
134958333.333,-68.50662928510226
139956666.667,-74.0997324692905
144955000.0,-72.11192794206019
149953333.333,-67.85461838566735
154951666.667,-72.70836135819592
159950000.0,-77.4890991669991
164948333.333,-70.0594490133694
169946666.667,-73.42891215255773
174945000.0,-81.09744943819504
179943333.333,-77.89675840834326
184941666.667,-69.65272878869914
189940000.0,-77.29380206121016
194938333.333,-75.56857340520754
199936666.667,-77.56998995375343
204935000.0,-68.1638652034672
209933333.333,-74.70097930006568
214931666.667,-73.8698585226024
219930000.0,-68.82140701320355
224928333.333,-79.1184189298137
229926666.667,-74.19417238140385
234925000.0,-73.31837918776475
239923333.333,-81.17889174238752
244921666.667,-75.62279820226452
249920000.0,-73.40589867276174
254918333.333,-69.74710942267647
259916666.667,-71.15480864102564
264915000.0,-68.42057139427206
269913333.333,-71.06495072408207
274911666.667,-70.77575408914824
279910000.0,-72.41995676774646
284908333.333,-71.63657849789098
289906666.667,-76.36240495779981
294905000.0,-71.15133650398224
299903333.333,-74.88466003035353
304901666.667,-77.16905560990759
309900000.0,-73.28466599717687
314898333.333,-78.70209018495198
319896666.667,-72.46600542513042
324895000.0,-79.81628242453924
329893333.333,-70.04075718892169
334891666.667,-72.39258798114916
339890000.0,-79.14137039706134
344888333.333,-71.83250026820592
349886666.667,-74.7604149522187
354885000.0,-69.59267005221726
359883333.333,-85.0324930152867
364881666.667,-73.28876825882871
369880000.0,-70.00434879740777
374878333.333,-72.86310777239748
379876666.667,-72.24711076286026
384875000.0,-71.856388023193
389873333.333,-70.55086883682348
394871666.667,-78.72856321489192
399870000.0,-71.79052910488885
404868333.333,-73.26675069916702
409866666.667,-70.52445743945495
414865000.0,-73.69995345866596
419863333.333,-76.64705149991947
424861666.667,-74.81048894772182
429860000.0,-72.93491466061263
434858333.333,-77.00564798505732
439856666.667,-71.15947820179368
444855000.0,-75.41992427678919
449853333.333,-77.03998018312548
454851666.667,-76.89680995738118
459850000.0,-83.07015486476972
464848333.333,-70.6310463578359
469846666.667,-74.54291271747203
474845000.0,-77.35840923407557
479843333.333,-71.25112531765227
484841666.667,-71.9680256599496
489840000.0,-70.49302897999341
494838333.333,-82.18557298644832
499836666.667,-72.87040115560397
504835000.0,-69.66798196579218
509833333.333,-73.90935053383387
514831666.667,-73.11447069643198
519830000.0,-70.3903600633379
524828333.333,-73.38726710352626
529826666.667,-76.7360834754435
534825000.0,-78.76004902281214
539823333.333,-74.68817437749175
544821666.667,-72.49947408221699
549820000.0,-69.63379687048256
554818333.333,-75.9862749175592
559816666.667,-72.36430432487715
564815000.0,-75.62198447418457
569813333.333,-74.10941415359923
574811666.667,-71.96710653962629
579810000.0,-70.97867050901931
584808333.333,-73.12094033313672
589806666.667,-71.98824532270075
594805000.0,-71.05629750971242
599803333.333,-75.20022869701464
604801666.667,-72.16741432422734
609800000.0,-74.1995277674002
614798333.333,-72.92492151507125
619796666.667,-73.00917380787136
624795000.0,-70.06700518849985
629793333.333,-75.0548170970077
634791666.667,-74.71527886389252
639790000.0,-71.93955322206457
644788333.333,-74.63029461372915
649786666.667,-74.23495184147816
654785000.0,-71.67073451638646
659783333.333,-75.73161814945146
664781666.667,-73.11754644280043
669780000.0,-71.6285621771458
674778333.333,-73.67054073465552
679776666.667,-72.18334902072085
684775000.0,-71.94409544830974
689773333.333,-72.44421593631066
694771666.667,-73.2400170576078
699770000.0,-73.9793274735438
704768333.333,-72.0779733464347
709766666.667,-72.18757435932197
714765000.0,-71.74714713478521
719763333.333,-74.65196980912066
724761666.667,-71.27879502909119
729760000.0,-77.16801558403826
734758333.333,-76.89405526247405
739756666.667,-78.60394192751967
744755000.0,-73.21570685326746
749753333.333,-74.56697100593773
754751666.667,-74.80715097335053
759750000.0,-73.8783109100665
764748333.333,-72.40379649501403
769746666.667,-72.05612503148912
774745000.0,-73.35160659411189
779743333.333,-74.51189099015424
784741666.667,-71.86238158607688
789740000.0,-72.50048373180974
794738333.333,-74.23065111326007
799736666.667,-71.29404451201479
804735000.0,-74.26880895365673
809733333.333,-72.51253540897396
814731666.667,-71.40034273135205
819730000.0,-70.27424160098055
824728333.333,-76.32895378361353
829726666.667,-74.00824152918842
834725000.0,-72.07265605042716
839723333.333,-70.9736689648609
844721666.667,-71.84058378283095
849720000.0,-71.82797834728751
854718333.333,-71.74594539427362
859716666.667,-77.9997463289001
864715000.0,-72.5357750011389
869713333.333,-74.11524445113272
874711666.667,-76.58151627930985
879710000.0,-72.87815680714453
884708333.333,-72.60752194204058
889706666.667,-72.43008472692969
894705000.0,-73.90642883059027
899703333.333,-72.05851307337365
904701666.667,-74.36472676790453
909700000.0,-73.53897209223122
914698333.333,-75.4361715814282
919696666.667,-71.79631213537053
924695000.0,-73.37714795843455
929693333.333,-72.5437840087791
934691666.667,-71.7624125959162
939690000.0,-74.61497489365189
944688333.333,-72.28572516941563
949686666.667,-73.37362504739411
954685000.0,-73.65629215717577
959683333.333,-70.62829102128738
964681666.667,-76.78787572012143
969680000.0,-74.510069415216
974678333.333,-76.14573712140873
979676666.667,-73.82951665357665
984675000.0,-72.94804464494564
989673333.333,-74.06320000414408
994671666.667,-72.01813935064192
999670000.0,-75.61337279766946
1004668333.33,-72.17464887415505
1009666666.67,-75.6328024883369
1014665000.0,-72.41008598919576
1019663333.33,-72.69902322733877
1024661666.67,-73.01134127134088
1029660000.0,-72.8025809679461
1034658333.33,-72.5293889059505
1039656666.67,-72.16541973537801
1044655000.0,-72.24243173492407
1049653333.33,-76.0084791870821
1054651666.67,-76.41846399406083
1059650000.0,-75.42270560869075
1064648333.33,-76.16408121345768
1069646666.67,-71.68924274618934
1074645000.0,-73.95867146731996
1079643333.33,-72.88243221905127
1084641666.67,-71.25797025613562
1089640000.0,-74.52893521882237
1094638333.33,-72.83269475625792
1099636666.67,-74.09516673592991
1104635000.0,-73.70561325582523
1109633333.33,-74.07310679604822
1114631666.67,-72.53437592201541
1119630000.0,-74.15315819320156
1124628333.33,-74.6818484720782
1129626666.67,-72.59811809016361
1134625000.0,-74.63922085000544
1139623333.33,-74.50038462945712
1144621666.67,-73.64307714469165
1149620000.0,-73.47368949967307
1154618333.33,-78.43684345085636
1159616666.67,-72.51932158722398
1164615000.0,-74.54589668275635
1169613333.33,-73.70789981006631
1174611666.67,-73.60206152264726
1179610000.0,-71.11023349620687
1184608333.33,-74.15267865703291
1189606666.67,-72.4669078025589
1194605000.0,-73.63813094693126
1199603333.33,-71.46596010903923
1204601666.67,-74.6984854726636
1209600000.0,-72.15913908990734
1214598333.33,-74.71786070355013
1219596666.67,-72.87252490409844
1224595000.0,-70.84317612239856
1229593333.33,-73.82100986755579
1234591666.67,-73.39545955349175
1239590000.0,-71.1886743442631
1244588333.33,-72.24657657317087
1249586666.67,-72.42410331633056
1254585000.0,-75.04708134290239
1259583333.33,-75.23194667292051
1264581666.67,-73.20551837548665
1269580000.0,-72.28107284980418
1274578333.33,-70.75941025748931
1279576666.67,-72.98931407105414
1284575000.0,-72.10000372039411
1289573333.33,-74.2560081827602
1294571666.67,-75.38266964505925
1299570000.0,-75.3690422895306
1304568333.33,-73.31938826184496
1309566666.67,-76.42187036337836
1314565000.0,-74.11491603337635
1319563333.33,-73.81872015640003
1324561666.67,-73.7162541073048
1329560000.0,-77.52526876999787
1334558333.33,-74.26566040815592
1339556666.67,-75.21132994085386
1344555000.0,-74.28477332364218
1349553333.33,-74.77905756597265
1354551666.67,-72.90747941721301
1359550000.0,-76.04427996449809
1364548333.33,-73.73131701604437
1369546666.67,-72.92715696283226
1374545000.0,-71.1942441715381
1379543333.33,-70.73726306973305
1384541666.67,-75.51761690307062
1389540000.0,-75.2270769794008
1394538333.33,-73.7418133732257
1399536666.67,-76.26778701232533
1404535000.0,-73.52827446278698
1409533333.33,-72.56705168091804
1414531666.67,-73.62705154457899
1419530000.0,-73.33399411221416
1424528333.33,-72.22408566362388
1429526666.67,-75.45142734443077
1434525000.0,-75.68238572898494
1439523333.33,-74.41721710859188
1444521666.67,-77.36241264221393
1449520000.0,-74.24471270266099
1454518333.33,-74.54121228716774
1459516666.67,-71.9675468802863
1464515000.0,-72.95299603299982
1469513333.33,-71.81263244169263
1474511666.67,-75.16870257103454
1479510000.0,-72.71492686319148
1484508333.33,-76.00934873014798
1489506666.67,-75.94001129304831
1494505000.0,-72.7702219887574
1499503333.33,-75.98645218256468
1504501666.67,-73.09947451399279
1509500000.0,-72.283365943418
1514498333.33,-73.16592980173846
1519496666.67,-72.50951750756306
1524495000.0,-74.37712174678515
1529493333.33,-69.52649031768992
1534491666.67,-71.86515403880054
1539490000.0,-72.89870510829891
1544488333.33,-73.43532801119618
1549486666.67,-74.10395772123691
1554485000.0,-77.65044304120322
1559483333.33,-73.48822458772298
1564481666.67,-71.9090437532268
1569480000.0,-70.48479398844063
1574478333.33,-72.51094899762735
1579476666.67,-72.36213084888045
1584475000.0,-78.03766215068467
1589473333.33,-74.11645044841785
1594471666.67,-77.20699004437066
1599470000.0,-75.80203237972651
1604468333.33,-71.55247597201031
1609466666.67,-73.03598588427764
1614465000.0,-73.96484858406724
1619463333.33,-73.09441046829367
1624461666.67,-75.75144878653957
1629460000.0,-74.42300730672643
1634458333.33,-72.11762669401915
1639456666.67,-73.01236990668806
1644455000.0,-74.2685429590432
1649453333.33,-72.55899324922981
1654451666.67,-75.10745691693933
1659450000.0,-72.91635196290989
1664448333.33,-73.68394882574901
1669446666.67,-73.75259591025079
1674445000.0,-74.40947688664068
1679443333.33,-73.25908604986351
1684441666.67,-72.13881975225664
1689440000.0,-74.96522524133985
1694438333.33,-73.22241813849894
1699436666.67,-75.95459362343016
1704435000.0,-73.47858252801335
1709433333.33,-73.20787290650901
1714431666.67,-75.75850560755002
1719430000.0,-76.53954571398329
1724428333.33,-75.31312469644718
1729426666.67,-74.78538746750723
1734425000.0,-75.98182825523253
1739423333.33,-74.72155572938816
1744421666.67,-76.09185136289676
1749420000.0,-74.6235802205887
1754418333.33,-77.15030132594744
1759416666.67,-74.0932067058648
1764415000.0,-74.68930273931348
1769413333.33,-72.7641444939221
1774411666.67,-73.25800249943529
1779410000.0,-72.99601404681691
1784408333.33,-72.7749946357787
1789406666.67,-72.57508534010276
1794405000.0,-73.98194107897825
1799403333.33,-74.09717270419918
1804401666.67,-73.99265126351038
1809400000.0,-73.68147901187369
1814398333.33,-75.71436233876439
1819396666.67,-73.95821044749644
1824395000.0,-72.62537463625034
1829393333.33,-73.24528942688269
1834391666.67,-74.68082673966249
1839390000.0,-74.50683327123679
1844388333.33,-70.77845318425547
1849386666.67,-76.07090067844324
1854385000.0,-81.56823218626263
1859383333.33,-75.48318791360302
1864381666.67,-72.57400033505404
