Voltage,Wavelength,InsertionLoss
1.000,1545.0198,-99.6602
1.000,1545.0199,-99.6569
1.000,1545.0200,-99.6594
1.000,1545.0201,-99.6606
1.000,1545.0202,-99.6627
1.000,1545.0203,-99.6611
1.000,1545.0204,-99.6589
1.000,1545.0205,-99.6631
1.000,1545.0206,-99.6658
1.000,1545.0207,-99.6656
1.000,1545.0208,-99.6633
1.000,1545.0209,-99.6617
1.000,1545.0210,-99.6649
1.000,1545.0211,-99.6631
1.000,1545.0212,-99.6621
1.000,1545.0213,-99.6605
1.000,1545.0214,-99.6603
1.000,1545.0215,-99.6623
1.000,1545.0216,-99.6661
1.000,1545.0217,-99.6655
1.000,1545.0218,-99.6649
1.000,1545.0219,-99.6636
1.000,1545.0220,-99.6630
1.000,1545.0221,-99.6637
1.000,1545.0222,-99.6632
1.000,1545.0223,-99.6620
1.000,1545.0224,-99.6607
1.000,1545.0225,-99.6588
1.000,1545.0226,-99.6604
1.000,1545.0227,-99.6600
1.000,1545.0228,-99.6613
1.000,1545.0229,-99.6611
1.000,1545.0230,-99.6591
1.000,1545.0231,-99.6600
1.000,1545.0232,-99.6588
1.000,1545.0233,-99.6599
1.000,1545.0234,-99.6601
1.000,1545.0235,-99.6598
1.000,1545.0236,-99.6594
1.000,1545.0237,-99.6596
1.000,1545.0238,-99.6601
1.000,1545.0239,-99.6618
1.000,1545.0240,-99.6607
1.000,1545.0241,-99.6599
1.000,1545.0242,-99.6604
1.000,1545.0243,-99.6608
1.000,1545.0244,-99.6621
1.000,1545.0245,-99.6653
1.000,1545.0246,-99.6645
1.000,1545.0247,-99.6640
1.000,1545.0248,-99.6637
1.000,1545.0249,-99.6660
1.000,1545.0250,-99.6649
1.000,1545.0251,-99.6632
1.000,1545.0252,-99.6636
1.000,1545.0253,-99.6656
1.000,1545.0254,-99.6665
1.000,1545.0255,-99.6646
1.000,1545.0256,-99.6634
1.000,1545.0257,-99.6622
1.000,1545.0258,-99.6614
1.000,1545.0259,-99.6669
1.000,1545.0260,-99.6700
1.000,1545.0261,-99.6687
1.000,1545.0262,-99.6645
1.000,1545.0263,-99.6630
1.000,1545.0264,-99.6652
1.000,1545.0265,-99.6671
1.000,1545.0266,-99.6661
1.000,1545.0267,-99.6637
1.000,1545.0268,-99.6654
1.000,1545.0269,-99.6671
